symbol,market_capital,pe_ttm,dividend_yield,ytd_pct,price
NVDA,5452260000000.0,34.159,0.124,20.95,225.3
AAPL,4455019386800.0,34.554,0.35,12.59,305.26
GOOGL,4235982800000.0,17.346,0.243,10.8,346.36
GOOG,4206386200000.0,17.225,0.245,9.75,343.94
MSFT,3689605043568.0,27.586,0.717,3.2,496.88
AMZN,2859775317344.0,21.14,,14.86,265.13
TSM,2232725192260.0,32.218,0.644,42.23,430.49
AVGO,1987812158328.0,67.804,0.606,21.17,417.82
SPCX,1862453688429.0,,,4.66,141.29
META,1515689778688.0,22.257,0.35,-9.7,594.97
TSLA,1342688132064.0,352.967,,-24.41,339.96
SKHYV,1224566926550.0,24.506,,12.76,168.01
SKHY,1207511473850.0,22.697,,-1.39,165.67
LLY,1138100691585.0,42.608,0.679,13.04,1209.0
BRK.A,1087480680000.0,12.679,,0.95,762000.0
BRK.B,1085190201916.0,12.653,,0.85,506.93
MU,1072731496614.0,21.255,0.056,232.99,949.83
JPM,965213989266.0,14.834,1.672,14.29,363.11
WMT,920908919817.0,40.504,0.632,4.28,115.72
AMD,788501770036.0,122.552,,125.54,483.01
ASML,709778390000.0,57.745,0.419,73.43,1847.9
XOM,652190355976.0,19.91,2.626,33.58,158.61
V,652119407750.0,28.865,0.741,4.83,365.45
JNJ,631586224302.0,30.023,1.998,28.04,262.08
INTC,552715166195.0,,,183.36,104.56
MA,496732676378.0,30.555,0.603,-0.19,567.04
ORCL,449987179620.0,26.335,1.276,-19.08,156.22
BAC,448165242713.0,13.324,1.812,17.79,64.09
CSCO,447234591438.0,33.71,1.466,49.45,113.47
ABBV,443228357424.0,70.242,2.723,12.37,250.82
PLTR,430171498505.0,142.597,,0.71,179.01
COST,426560087627.0,48.264,0.576,12.03,961.85
AMAT,424403073712.0,45.797,0.358,108.52,534.54
LRCX,421707690210.0,58.043,0.309,97.25,337.01
CAT,392838160139.0,36.226,0.727,50.09,854.6
CVX,390609980870.0,18.97,3.455,32.18,197.7
KO,376128854823.0,26.273,2.379,26.72,87.42
GE,374186544688.0,41.711,0.465,17.4,360.64
UNH,358194199644.0,25.364,2.266,22.52,399.06
HSBC,357499231910.0,14.027,4.089,37.4,104.05
MS,342980266847.0,17.017,1.911,25.04,218.38
HD,340714770239.0,24.316,2.707,0.72,341.7
PG,335322713236.0,20.898,2.979,2.9,144.26
MRK,334425115531.0,105.397,2.491,30.66,135.55
NFLX,325786640250.0,23.868,0.0,-16.55,78.24
PANW,322740000000.0,382.892,,114.98,396.0
DELL,319523892070.0,37.998,0.474,296.44,494.51
GS,303584045123.0,14.475,1.669,19.77,1042.63
RY,298793857050.0,18.744,2.228,28.64,215.0
ARM,297598200000.0,285.056,,154.92,278.65
RTX,297153715589.0,38.402,1.582,21.52,220.48
PM,294437664761.0,27.077,3.11,19.81,188.91
BABA,292802080686.0,19.054,0.844,-15.91,122.16
