symbol,market_capital,pe_ttm,dividend_yield,ytd_pct,price
NVDA,5264952000000.0,32.986,0.127,16.8,217.56
AAPL,4623874049400.0,35.863,0.344,16.86,316.83
GOOGL,4215925600000.0,17.264,0.245,10.28,344.72
GOOG,4178991000000.0,17.113,0.247,9.03,341.7
MSFT,3596265936746.0,26.888,0.74,0.59,484.31
AMZN,2867433599980.0,21.196,,15.17,265.84
TSM,2137294070660.0,30.788,0.67,36.15,412.09
SPCX,1840835569319.0,,,3.44,139.65
AVGO,1724527670171.0,58.823,0.666,5.12,362.48
META,1391014824037.0,20.427,0.383,-17.13,546.03
TSLA,1386765080981.0,364.554,,-21.92,351.12
SKHYV,1224566926550.0,24.506,,,168.01
LLY,1205257104602.0,45.122,0.547,19.71,1280.34
SKHY,1138196364800.0,21.067,,-7.05,156.16
BRK.A,1070597613800.0,12.482,,-0.61,750170.0
BRK.B,1069541610639.0,12.47,,-0.6,499.62
MU,1058359968768.0,20.97,0.056,228.52,937.105
JPM,949663600026.0,14.595,1.671,12.45,357.26
WMT,909608447417.0,40.007,0.635,3.0,114.3
AMD,761419009090.0,118.343,,117.79,466.42
XOM,677519733649.0,20.683,2.518,39.67,164.77
ASML,672839493000.0,54.499,0.429,64.4,1751.73
JNJ,658890375406.0,31.321,1.932,33.58,273.41
V,652280006318.0,28.872,0.744,4.85,365.54
MA,502584422777.0,30.915,0.596,0.99,573.72
INTC,490550568314.0,,,151.49,92.8
ABBV,470000184291.0,74.485,2.638,19.16,265.97
BAC,441731914217.0,13.132,1.808,16.1,63.17
CSCO,435725602216.0,32.843,1.49,45.61,110.55
COST,424404780640.0,48.02,0.576,11.47,956.99
PLTR,420991815111.0,139.554,,-1.44,175.19
ORCL,414240534510.0,24.243,1.396,-25.51,143.81
CVX,406534697338.0,19.743,4.185,38.77,205.76
AMAT,393938850383.0,42.51,0.372,93.55,496.17
KO,388735324105.0,27.154,2.342,30.97,90.35
LRCX,384368271570.0,52.904,0.318,79.78,307.17
MRK,375503523304.0,118.343,2.498,46.71,152.2
CAT,375163660657.0,34.596,0.738,43.34,816.15
GE,369610894006.0,41.201,0.447,15.96,356.23
HSBC,351388711460.0,13.787,3.634,35.09,102.3
UNH,348814333493.0,24.7,2.295,19.31,388.61
HD,343307273613.0,24.131,2.741,1.48,344.3
MS,336462416735.0,16.694,1.919,22.66,214.23
PG,335601645203.0,20.915,2.996,2.99,144.38
NFLX,334031240809.0,24.472,0.0,-14.44,80.22
BABA,308957008845.0,20.095,0.805,-11.27,128.9
NVS,304703596000.0,23.885,2.016,18.55,160.31
GS,297475268983.0,14.184,1.672,17.36,1021.65
RTX,296978507030.0,38.379,1.248,21.45,220.35
PM,296027450469.0,27.223,3.132,20.46,189.93
PANW,293204400000.0,347.852,,95.31,359.76
RY,288537584189.0,18.08,2.249,24.22,207.62
DELL,284218603977.0,33.799,0.498,250.77,437.55
ARM,266295120000.0,255.072,,128.1,249.34
GEV,262993757894.0,27.599,0.176,51.37,987.46
WFC,259882502936.0,11.494,2.154,-6.27,85.94
SHEL,258407501125.0,9.949,3.351,29.71,92.77
AZN,255842957516.0,24.492,2.017,82.52,164.95
SAP,248845520000.0,27.509,1.022,-10.13,215.6
KLAC,244677016052.0,50.65,0.432,54.69,187.27
TXN,244248093621.0,40.358,2.079,56.75,267.45
MUFG,242674288182.0,19.37,1.91,37.81,21.56
AMGN,239153973732.0,27.354,2.297,37.11,442.36
ANET,235155335620.0,58.141,,42.3,186.45
BHP,234480820273.0,23.846,2.949,55.85,92.29
SNDK,229712378099.0,20.092,,560.91,1568.87
AXP,229537812237.0,20.054,1.057,-7.37,339.9
TMO,226854749852.0,32.561,0.309,6.09,613.54
TM,223557698360.0,7.93,3.395,-10.58,188.78
IBM,223436591932.0,20.833,2.886,-18.3,237.16
C,222914574093.0,12.496,1.85,15.6,132.89
LIN,221791385824.0,30.617,1.307,13.58,481.13
SAN,208147657343.0,11.044,1.433,21.88,14.17
MRVL,207793099185.0,82.239,0.11,179.62,237.27
NVO,205538051764.0,11.377,2.903,-5.43,46.48
CRWD,205311618626.0,,0.0,72.05,201.63
VZ,205079703971.0,12.681,5.808,27.28,49.36
TTE,200332673327.0,11.231,4.191,41.0,90.07
ABT,198007843523.0,36.499,2.209,-6.97,114.43
TMUS,195612395347.0,18.524,2.224,-9.26,182.36
TD,195520235850.0,18.191,2.611,28.56,118.35
PEP,194606238340.0,18.621,4.11,1.29,142.58
APH,192394738630.0,37.406,0.57,15.87,156.04
SCHW,191748743968.0,18.993,1.113,12.08,110.88
KOF,190301789553.0,135.312,3.431,21.84,113.23
MCD,189258727466.0,21.538,2.769,-11.41,267.45
STX,188695159906.0,59.264,0.314,203.06,832.56
SHOP,188596267406.0,97.82,,-8.94,146.58
DIS,184634630431.0,21.469,1.478,-5.29,106.93
GILD,183017380878.0,,2.247,21.73,147.6
ADI,181810108550.0,54.871,1.115,38.44,373.26
BLK,179481081640.0,27.293,1.9,9.49,1158.92
UNP,179291985296.0,24.46,1.845,31.83,301.8
NEE,179206387935.0,19.272,2.749,8.53,85.91
BA,175620218444.0,72.123,,2.34,222.2
T,172131927528.0,7.985,4.554,4.76,25.12
QCOM,170043374149.0,18.363,2.278,-4.38,161.91
WELL,169901207299.0,109.566,1.273,28.37,235.73
CRM,168787710000.0,21.038,0.938,-21.81,206.09
WDC,166602364813.0,17.679,0.096,168.43,462.09
ETN,164941828000.0,43.077,1.006,34.45,424.67
SCCO,164376828790.0,29.03,2.098,42.07,194.68
UBS,162670360376.0,17.087,2.105,17.72,53.13
PFE,160958782153.0,37.147,6.305,19.27,28.24
BKNG,160044046500.0,22.201,0.817,-0.09,213.0
TJX,159629792447.0,27.57,1.202,-5.06,144.5
UBER,159401391843.0,16.641,,-4.49,78.04
BBVA,159231764670.0,12.345,3.098,25.47,28.53
COP,156870648008.0,16.901,2.629,42.57,130.58
DE,156733767078.0,32.769,1.102,25.4,580.63
SMFG,155602745257.0,18.866,2.232,29.13,24.57
IBKR,154610755130.0,137.31,0.36,41.08,90.54
BUD,154038389467.0,16.515,1.289,23.34,78.13
DHR,148681550421.0,37.133,0.725,-7.22,211.5
RDS.A,142170085775.52,42.202,,,51.04
ISRG,140505741273.0,44.764,,-29.78,397.72
