symbol,market_capital,pe_ttm,dividend_yield,ytd_pct,price
NVDA,5292119000000.0,27.437,0.243,18.02,219.606
AAPL,4878980315800.0,37.847,0.327,23.31,334.3272
GOOGL,4172509100000.0,17.084,0.257,9.21,341.1758
GOOG,4135819100000.0,16.933,0.258,7.98,338.1865
MSFT,3678206831239.0,27.497,0.739,3.07,495.3629
AMZN,2757844654089.0,20.389,,10.77,255.6884
TSM,2253886006180.0,32.14,0.647,43.58,434.5653
SPCX,1959142044326.0,-238.156,,10.09,148.6358
AVGO,1741420174752.0,45.512,0.699,5.79,364.83
META,1661279759447.0,24.385,0.323,-1.03,652.2416
TSLA,1442453699237.0,378.96,,-18.79,365.2111
SKHY,1394975680450.0,11.556,,13.92,191.39
SKHYV,1224566926550.0,24.506,,,168.01
MU,1104636853130.0,21.904,0.054,242.89,978.1719
BRK.A,1085258045028.0,12.653,,0.75,760442.595
BRK.B,1085254423221.0,12.653,,0.86,506.96
LLY,1055846511552.0,39.548,0.597,4.87,1122.562
JPM,947895906206.0,14.566,1.717,12.24,356.6058
WMT,842444844601.0,38.149,0.928,-4.08,106.18
AMD,840969517886.0,130.687,,140.54,515.15
XOM,681302692652.0,20.796,2.523,40.45,165.617314
V,659899516159.0,29.206,0.738,6.08,369.9667
ASML,657650834650.0,53.326,0.459,60.69,1712.7767
JNJ,642069283199.0,30.512,1.981,30.81,266.4859
INTC,547323338827.0,-48.459,,180.6,103.5416
MA,497205721745.0,30.583,0.605,-0.09,567.615
ABBV,453945923757.0,71.93,2.679,15.09,256.885
ORCL,440496027675.0,23.318,1.303,-20.78,152.925
BAC,438829923646.0,13.042,1.893,15.93,62.755
CSCO,438494512015.0,33.049,1.548,46.49,111.22
CVX,423239843460.0,20.551,3.344,44.48,214.215
COST,400663142868.0,45.342,0.614,5.23,903.41
PLTR,400085206335.0,132.552,,-6.33,166.5037
KO,379441817740.0,26.502,2.368,27.84,88.1886
CAT,378068805956.0,34.858,0.771,44.45,822.305
LRCX,376209658650.0,51.782,0.35,75.97,300.65
AMAT,366888033873.0,39.595,0.436,80.54,462.266
HSBC,361104563876.0,14.174,3.62,38.94,105.24
DELL,358261410243.0,31.504,0.471,351.72,563.308
MRK,356555645124.0,112.364,2.334,39.31,144.525
UNH,340035855889.0,24.064,2.329,16.31,378.83
GE,336502274216.0,37.504,0.517,5.57,324.37
PG,335974549931.0,20.932,3.008,3.18,144.6443
MS,335237375027.0,16.63,1.963,22.21,213.44
NFLX,319499091339.0,23.409,0.0,-18.16,76.735
HD,308645262699.0,21.694,3.036,-8.14,309.345
PM,300765635324.0,27.662,3.096,22.39,192.925
GS,299018477446.0,14.251,1.789,18.54,1026.9
RY,284543379461.0,17.332,2.334,22.97,205.5311
ARM,279805320000.0,267.921,,139.68,262.0
WFC,272719380117.0,12.057,2.105,-1.64,90.2384
BABA,271877510899.0,24.795,0.916,-24.71,109.365
PANW,269510550000.0,876.752,,78.87,328.9561
MUFG,268675104773.0,20.755,1.863,52.58,23.87
SHEL,268630154236.0,10.343,3.213,34.85,96.4448
RTX,266114845533.0,34.387,1.42,8.83,197.455
NVS,261414815519.0,20.492,2.266,1.71,137.53
GEV,253463010698.0,26.601,0.192,45.88,951.675
ANET,249861215015.0,61.78,,51.19,198.07
TXN,248700176090.0,41.095,2.186,59.61,272.325
AZN,246119576391.0,23.561,2.023,75.58,158.692
SNDK,239966100739.0,20.986,,590.41,1639.145
SAP,237545902000.0,26.282,1.044,-14.21,205.74
KLAC,236994520968.0,49.046,0.475,49.84,181.38
TM,235021454813.0,8.069,3.321,-5.99,198.4788
C,232484350940.0,13.032,1.838,20.57,138.5909
TMO,226525305021.0,32.516,0.302,5.94,612.523392
IBM,224341040947.0,20.918,2.869,-17.97,238.1642
BHP,221459754027.0,22.526,3.902,50.39,87.165
AXP,219077262924.0,19.14,1.116,-11.6,324.3901
SAN,216673246493.0,11.506,1.408,28.03,14.885
LIN,214346556192.0,29.586,1.372,10.12,465.03
CRWD,211155843117.0,4684.454,0.0,75.97,206.22
VZ,210709424369.0,13.031,5.641,30.77,50.715
MRVL,208456668000.0,78.841,0.104,180.15,237.72
APH,206623367724.0,40.168,0.567,24.44,83.785
AMGN,205427997680.0,23.496,2.593,18.47,379.9775
CRM,204663640000.0,21.182,0.753,-5.65,248.71
TTE,203457658405.0,11.406,4.102,43.2,91.4674
TD,197033623220.0,16.853,2.673,30.64,120.26
TMUS,196502712785.0,18.606,2.348,-8.32,183.19
QCOM,193369069535.0,20.887,2.066,9.32,184.06
NVO,189527698568.0,10.484,3.017,-12.73,42.89
STX,187950558757.0,59.051,0.328,200.87,826.68
PEP,186962845615.0,17.889,4.253,-1.65,136.9858
DE,185345900717.0,38.035,0.958,48.47,687.52
KOF,185200968823.0,131.214,3.399,18.57,110.195
DIS,184496495479.0,21.453,1.452,-5.36,106.77
SCHW,184087786755.0,18.226,1.158,7.6,106.45
ADI,183277195827.0,44.32,1.194,40.71,378.23
T,179875123313.0,8.342,4.438,9.47,26.2487
MCD,179011087399.0,20.372,2.951,-15.61,253.0
GILD,178398547926.0,-55.063,2.226,18.66,143.8741
ABT,176516473982.0,32.534,2.408,-17.07,102.021849
SMFG,172416961320.0,20.245,2.169,43.08,27.2279
NEE,171822025075.0,18.481,2.952,4.84,82.38
WELL,169050728257.0,109.078,1.271,27.73,234.595587
UNP,168913486346.0,23.059,1.944,24.78,284.34
SHOP,168910615262.0,87.606,,-18.44,131.28
BLK,168194984391.0,25.582,2.113,3.13,1086.045
UBS,167477295550.0,17.594,2.064,21.2,54.705
BA,165543000689.0,67.991,,-3.53,209.45
SCCO,165069190613.0,29.195,2.029,42.67,195.72
ETN,164774816000.0,43.032,1.06,34.31,424.2373
BBVA,164338566797.0,12.751,3.093,29.5,29.445
COP,164222833379.0,17.696,2.488,49.25,136.6462
WDC,162632809020.0,17.255,0.115,162.12,451.25
PFE,156769522065.0,36.18,6.213,16.16,27.5086
IBKR,155763419806.0,138.326,0.374,42.26,91.215
BUD,153653934252.0,16.473,1.285,23.04,77.94
UBER,145706026232.0,15.208,,-12.7,71.33
GLW,144472050875.0,76.063,0.685,92.56,167.7559
RDS.A,142170085775.52,42.202,,,51.04
DHR,141240443039.0,35.275,0.721,-11.86,200.86
SONY,139613270119.0,-97.062,0.591,-6.58,23.855
MFG,139380835283.0,16.641,1.6,58.14,11.455
TJX,138354737393.0,22.804,1.44,-17.36,125.76
NOW,135942514380.0,81.397,0.0,-14.17,131.5034
NEM,133875817800.0,15.569,0.833,28.07,127.03
UL,133245163359.0,12.394,3.62,-3.0,61.855
BKNG,130420870287.0,18.093,0.98,-18.39,173.575
VRTX,130125621769.0,29.532,,13.24,513.3034
CB,129761853575.0,11.601,1.482,8.74,336.345
ISRG,129702498871.0,41.323,,-35.18,367.2626
BMY,129528536337.0,13.955,3.918,21.53,63.405
PLD,128634916606.0,30.566,3.038,7.91,135.6986
COF,127506688314.0,12.116,1.57,-13.24,207.83
RIO,125414919235.0,10.36,4.679,31.16,99.93
PGR,125340364500.0,10.723,6.485,0.83,215.695
LMT,121089007456.0,19.263,2.603,10.44,524.6614
BMO,120890441859.0,18.297,2.831,37.21,173.94
SPGI,120705860000.0,24.534,0.953,-16.59,409.66
CVS,120670854315.0,24.677,2.778,21.67,94.3599
ACN,120292774355.0,15.447,3.525,-31.08,180.157
BP,120257551285.0,21.899,4.353,37.19,45.9401
BTI,119412437253.0,13.726,5.76,0.39,55.28
PH,119293845611.0,32.702,0.814,8.34,946.477395
SNOW,116247600000.0,-106.432,,50.21,328.8194
MDT,115589295430.0,22.097,3.118,-4.3,90.35
MO,115078751380.0,14.429,6.183,23.35,68.9186
FTNT,114712461078.0,54.01,,96.88,156.345
HDB,114577971588.0,14.932,1.616,-37.97,22.34
VLO,114255375074.0,15.851,1.266,147.37,396.8212
MPC,113745262006.0,13.315,1.06,151.95,405.5164
SBUX,113475600000.0,57.23,2.497,20.35,99.4624
BNS,113460884700.0,15.698,3.475,30.34,93.09
PDD,111032041018.0,8.091,,-31.21,78.005
LOW,110948432257.0,16.701,2.465,-16.73,197.77
BNY,110494399525.0,17.536,1.383,42.02,162.8729
NET,109369884462.0,-529.644,,55.8,307.2101
DHR.WD,108776501000.0,44.2807,,,150.55
SPOT,108269893642.0,27.97,,-9.31,526.6798
EQNR,106974065795.0,11.819,3.332,95.23,44.745
APP,106927687520.0,24.245,,-52.58,319.49
ING,106409437000.0,12.088,3.586,38.73,37.21
ADP,106108877053.0,24.049,3.155,6.16,267.075
PSX,104832770156.0,14.797,1.947,107.86,263.1012
ENB,104826294129.0,23.692,5.726,4.36,47.995
IBN,104142966564.0,5.702,0.735,-1.87,29.035
CM,103613592070.0,14.175,2.685,27.87,114.1101
FCX,103235299728.0,35.052,0.871,42.55,71.8875
SNY,103210558285.0,22.481,4.728,-8.31,42.4703
SYK,102795658463.0,27.567,1.287,-23.34,268.0196
MCK,102733015406.0,22.371,0.397,7.74,881.145
EQIX,102584018350.0,66.917,1.966,37.77,1039.295
CNQ,102528702500.0,12.076,4.38,51.24,49.735
CEG,102130023196.0,29.475,0.573,-18.04,288.225
HOOD,101532911549.0,48.964,,-0.15,112.9295
AEM,101495773340.0,17.27,0.883,19.0,200.44
ABNB,101266634540.0,37.632,,24.61,169.125
SO,101007620230.0,21.688,3.342,3.17,87.805
VRT,99382771919.0,57.389,0.09,59.41,258.145
CME,99263653447.0,23.158,4.121,4.53,276.053
ADBE,98882100000.0,13.582,,-28.92,248.705
PWR,98026147387.0,73.877,0.069,54.58,652.015
USB,97637518761.0,11.951,3.328,19.67,62.6588
TT,97615482708.0,33.123,0.934,14.8,443.66
BX,97220964765.0,27.614,4.141,-13.33,129.4851
GSK,97090111536.0,14.91,3.722,0.42,48.0098
PNC,97055015308.0,12.726,2.9,19.29,243.31
MELI,96782729858.0,51.976,,-5.22,1909.01
GD,95884117122.0,21.375,1.743,6.66,354.395
BK,94143749812.0,15.793,1.563,,137.16
DUK,93244507291.0,17.765,3.58,4.7,119.5899
HCA,92114893205.0,13.469,0.746,-8.55,425.47
HWM,91473076889.0,48.857,0.22,12.04,229.3618
KKR,91442138674.0,28.998,0.75,-19.63,101.8368
CSX,90613810565.0,28.138,1.126,36.17,48.915
ELV,90574374622.0,18.255,1.69,20.89,417.86
WMB,90012894264.0,29.292,3.533,25.12,73.59
BCS,89834672961.0,8.477,2.316,7.3,26.7022
CMCSA,89727275748.0,8.012,5.312,-6.32,25.285
MMC,89506499084.0,21.688,1.883,,182.7
ASX,88718506936.0,46.632,0.778,148.36,39.7138
ICE,88641382525.0,21.952,1.301,-1.83,157.895
JCI,88498828767.0,24.732,1.15,22.72,146.07
DASH,88100346370.0,104.71,,-10.22,203.2777
MAR,87562711848.0,33.843,0.863,8.88,335.759258
LYG,86774574944.0,12.343,3.65,17.17,5.987
WM,85626986716.0,30.013,2.1,-1.25,214.2415
BN,85264663671.0,59.709,0.704,-16.49,38.195
INTU,85228241300.0,18.661,1.59,-51.4,318.925
MNST,84709398275.0,39.813,0.0,12.8,43.24
UPS,84644259593.0,18.517,6.553,5.06,99.5043
EMR,84389617780.0,32.749,1.503,15.28,151.2901
MMM,84336086852.0,28.161,1.914,3.58,163.54
LITE,84213499500.0,-12.146,,154.71,938.835
MRSH,84139504717.0,21.14,2.108,-1.96,176.3239
AMT,82859345536.0,24.379,4.044,3.27,177.825
SLB,82807771574.0,26.699,2.101,47.76,55.795
MCO,81534473172.0,29.2,0.876,-7.22,471.155
E,81440315180.0,13.295,3.027,49.65,55.8656
CTAS,81110368319.0,40.556,0.943,8.6,202.69
BE,80744671906.0,329.708,,215.51,274.15
REGN,80689427520.0,18.641,0.474,1.93,783.755
SU,80201502495.0,12.441,2.546,57.82,68.58
HPE,80006302230.0,28.668,1.009,153.26,60.275
MDLZ,79718201240.0,22.666,3.221,18.02,62.455
DDOG,79563843818.0,447.529,,62.94,221.3792
CDNS,79332461510.0,57.56,,-7.84,288.1732
PBR,79073708434.0,3.094,5.468,87.64,21.25
CP,78703962925.0,28.189,0.798,22.13,89.525
SHW,78591737595.0,29.236,1.019,0.62,323.7542
CVNA,77835802452.0,49.64,0.0,-16.2,70.73
TRV,77683766944.0,9.353,1.317,29.85,372.465
MSI,77523082582.0,36.326,1.023,22.89,468.435
ECL,77238968017.0,36.495,1.054,5.52,275.5301
NGG,77131225107.0,17.619,4.195,1.79,76.7356
EOG,76969411286.0,11.193,2.824,43.22,146.6045
