symbol,market_capital,pe_ttm,dividend_yield,ytd_pct,price
NVDA,5405148000000.0,28.037,0.124,20.4,224.2872
AAPL,4570167467000.0,35.451,0.337,15.5,313.1543
GOOGL,4029907300000.0,16.502,0.252,5.48,329.5072
GOOG,4002145200000.0,16.388,0.255,4.49,327.24
MSFT,3651586250654.0,27.305,0.737,2.33,491.76
AMZN,2712542137087.0,20.063,,8.95,251.5272
TSM,2255856866300.0,32.03,0.631,43.71,435.0
SPCX,1928098952555.0,-234.683,,8.35,146.28
AVGO,1715107661379.0,44.863,0.686,4.54,360.5601
META,1656948998865.0,24.339,0.339,-1.29,650.6929
TSLA,1462971597949.0,384.614,,-17.63,370.43
SKHY,1409552990450.0,11.644,,15.11,193.4
SKHYV,1224566926550.0,24.506,,,168.01
MU,1154149448870.0,22.877,0.053,258.26,1022.1106
BRK.B,1086427532389.0,12.664,,0.97,507.6
BRK.A,1084620962597.0,12.646,,0.69,759996.19
LLY,1063959409146.0,39.824,0.596,5.68,1130.52
JPM,942592824747.0,14.486,1.717,11.61,354.7119
AMD,858004394950.0,133.29,,145.42,525.59
WMT,840382070578.0,38.068,0.925,-4.32,105.925
XOM,672605998857.0,20.533,2.594,38.65,163.6
ASML,668829489000.0,54.077,0.439,63.42,1741.1001
V,655072636974.0,28.995,0.735,5.3,367.105
JNJ,648648306369.0,30.821,1.961,32.15,269.1743
INTC,555781107247.0,-49.241,,184.93,105.15
MA,496588134738.0,30.537,0.599,-0.21,566.875
ORCL,464533558170.0,27.18,1.226,-16.46,161.2782
ABBV,441408226620.0,69.954,2.746,11.91,249.84
BAC,438375395002.0,13.035,1.898,15.81,62.69
CSCO,431338716841.0,32.511,1.523,44.1,109.405
CVX,421145525909.0,20.451,3.391,43.76,213.155
PLTR,410346266045.0,135.969,,-3.93,170.7515
COST,399680837317.0,45.223,0.609,4.97,901.44
LRCX,394278733890.0,54.394,0.325,84.42,316.3543
KO,378151052967.0,26.406,2.354,27.4,87.9186
CAT,375018863067.0,34.608,0.755,43.28,815.64
AMAT,370633813804.0,40.007,0.419,82.38,466.955
MRK,364502404970.0,114.844,2.275,42.41,147.7098
HSBC,361115927636.0,14.18,3.533,38.94,105.3686
UNH,350654402929.0,24.828,2.256,19.94,390.66
DELL,345656422474.0,30.381,0.447,335.83,543.95
MS,338056541522.0,16.784,1.93,23.24,215.245
GE,337415329228.0,37.651,0.501,5.86,325.2
PG,331352432030.0,20.648,2.954,1.76,142.6758
NFLX,318270729135.0,23.313,0.0,-18.48,76.435
HD,310271496790.0,21.816,2.958,-7.66,311.0373
GS,298543868051.0,14.235,1.76,18.35,1025.05
PM,286629011432.0,26.359,3.181,16.63,183.89
RY,286286238135.0,17.352,2.3,23.73,206.79
ARM,282421920000.0,270.867,,141.92,264.44
BABA,272747479164.0,24.883,0.882,-24.47,109.73
PANW,272662325000.0,888.894,,81.63,334.5229
WFC,270073380698.0,11.945,2.141,-2.6,89.3
RTX,267718677724.0,34.63,1.415,9.48,198.8489
SHEL,265482579845.0,10.223,3.234,33.27,95.315
NVS,261804462062.0,20.525,2.262,1.86,137.76
MUFG,261302578857.0,20.144,1.839,48.39,23.2114
SNDK,258742873427.0,22.621,,644.44,1766.4012
GEV,253935752804.0,26.649,0.182,46.15,953.58
ANET,246071234948.0,60.849,,48.9,195.1512
AZN,245568955963.0,23.516,2.018,75.19,158.3274
SAP,244603835000.0,26.991,1.017,-11.66,211.9123
KLAC,238052823863.0,49.301,0.446,50.51,182.2
TXN,238019744402.0,39.376,2.186,52.75,261.0275
BHP,234125122854.0,23.81,3.705,58.99,92.115
C,231419178583.0,12.972,1.862,20.01,137.9709
TM,227903798334.0,7.808,3.339,-8.84,192.5853
TMO,224216602967.0,32.188,0.302,4.86,606.405
SAN,220105876851.0,11.668,1.339,26.05,14.655
IBM,218066425909.0,20.332,2.893,-20.27,231.4402
AXP,217463272423.0,18.996,1.098,-12.25,322.013
LIN,214166773928.0,29.565,1.352,10.03,464.59
CRWD,213951185236.0,4754.772,0.0,78.3,208.9518
AMGN,212452159005.0,24.301,2.523,22.52,392.975
MRVL,208053294000.0,78.967,0.105,179.6,237.26
STX,207191418636.0,65.054,0.313,231.68,911.16
CRM,204301520000.0,21.143,0.735,-5.82,248.185
VZ,203708628154.0,12.585,5.592,26.42,48.987
TTE,202356685015.0,11.345,4.153,42.43,90.962
APH,201025622829.0,39.091,0.557,21.07,81.515
NVO,198147708959.0,10.938,2.938,-8.78,44.835
TD,195411610190.0,16.642,2.664,29.56,119.27
TMUS,189133458804.0,17.926,2.29,-11.76,176.4191
PEP,186178032969.0,17.814,4.198,-2.06,136.3723
KOF,186066511714.0,131.382,3.432,19.13,110.745
SCHW,185445315291.0,18.367,1.163,8.4,107.2441
QCOM,183995731790.0,19.873,2.099,4.02,175.2517
ABT,183559136948.0,33.82,2.359,-13.76,106.07
DE,181595411236.0,37.273,0.955,45.46,673.51
GILD,181380640073.0,-55.989,2.198,20.64,146.2871
DIS,180197045093.0,20.957,1.462,-7.57,104.36
MCD,179479121508.0,20.425,2.919,-15.39,253.6364
WDC,177862058494.0,18.873,0.111,186.67,493.3836
ADI,175427235294.0,42.467,1.188,34.69,362.03
