symbol,market_capital,pe_ttm,dividend_yield,ytd_pct,price
NVDA,5515752540000.0,28.598,0.229,23.01,228.8141
AAPL,4996682377500.0,38.757,0.315,26.28,342.3724
GOOGL,4323855350000.0,17.704,0.241,13.17,353.5
GOOG,4269736377000.0,17.48,0.243,11.47,349.1199
MSFT,3677501404418.0,27.499,0.726,3.05,495.2741
AMZN,2745116804074.0,20.289,,10.26,254.5205
TSM,2316443180978.0,33.02,0.674,47.88,446.742
SPCX,2016285060387.0,-245.526,,13.3,152.96
META,1909597928729.0,28.016,0.352,13.85,749.0234
AVGO,1730069437659.0,45.223,0.875,5.29,362.475
TSLA,1485977711519.0,390.949,,-16.34,376.2687
SKHY,1411302267650.0,11.808,,15.25,193.72
SKHYV,1224566926550.0,24.506,,,168.01
MU,1220072127094.0,24.169,0.051,278.72,1080.29
LLY,1099721564045.0,41.128,0.575,9.23,1168.7505
BRK.B,1080213050791.0,12.597,,0.39,504.605
BRK.A,1079181532658.0,12.583,,0.18,756184.77
AMD,1006796332653.0,156.46,,187.98,616.735
JPM,905617454775.0,13.92,1.724,7.23,340.2372
WMT,866435699859.0,39.216,0.913,-1.35,109.166182
ASML,660267938410.0,54.143,0.452,61.33,1719.0001
XOM,656836816490.0,20.056,2.633,35.4,159.74
JNJ,645973318926.0,30.707,1.958,31.61,268.0851
V,644981693614.0,28.549,0.732,3.68,361.3915
INTC,643239718806.0,-56.977,,229.77,121.685
MA,487267388976.0,29.961,0.603,-2.09,556.36
ABBV,470026691051.0,74.489,2.583,19.16,265.985
ORCL,450627376080.0,23.823,1.278,-22.8,149.09
PLTR,440108145320.0,146.038,,3.04,183.1
CSCO,414484157958.0,31.245,1.492,38.47,105.13
CVX,403175886172.0,19.58,3.493,37.63,204.06
COST,399124271418.0,45.16,0.617,4.83,900.4395
BAC,395999339910.0,11.778,2.043,4.61,56.6317
LRCX,382491290070.0,52.646,0.345,78.91,305.2702
KO,379549381471.0,26.521,2.41,28.63,88.215
MRK,375602210169.0,118.382,2.279,47.62,152.26
CAT,370819732956.0,34.184,0.76,41.68,806.7
AMAT,370121943454.0,39.927,0.427,82.13,465.9776
ARM,352215720000.0,337.371,,201.7,329.9554
DELL,349468119910.0,30.734,0.415,340.63,549.64
HSBC,347999053974.0,13.647,3.64,34.01,101.49
PG,343105153929.0,21.383,2.944,5.37,147.72
UNH,336185173995.0,23.806,2.419,15.7,374.54
GE,330245772263.0,36.816,0.526,3.61,318.22
MS,314572649040.0,15.608,2.025,14.68,200.2925
HD,300583930521.0,21.138,3.122,-10.54,301.2872
PANW,300271440000.0,977.763,,99.28,366.965
NFLX,299886935466.0,21.969,0.0,-23.19,72.0201
PM,293510289765.0,26.992,3.134,19.43,188.315
BABA,289550294795.0,26.363,0.859,-19.81,116.51
RY,281150003581.0,17.34,2.332,21.51,203.08
GS,276172266143.0,13.168,1.901,9.48,948.4869
SNDK,275824114084.0,24.122,,693.58,1883.44
NVS,268437956853.0,21.041,2.21,4.44,141.23
SHEL,262070386367.0,10.092,3.305,31.55,94.085
AZN,261180208398.0,25.009,1.921,86.32,168.405
MUFG,259614214143.0,20.427,1.853,47.43,23.0677
ANET,257901522146.0,63.747,,56.06,204.522981
RTX,256916396200.0,33.185,1.447,5.07,190.625
GEV,253953064487.0,26.651,0.187,46.16,953.515
WFC,253275064387.0,11.201,2.176,-8.65,83.7672
CRWD,252562363403.0,5613.121,0.0,110.03,246.195029
TXN,246722994850.0,40.772,2.089,58.34,270.16
TMO,244375225000.0,35.093,0.281,14.38,660.95
KLAC,241877739570.0,50.036,0.458,52.92,185.12
SAP,240165936000.0,26.878,1.028,-13.26,208.21
MRVL,231207838500.0,87.594,0.092,210.72,263.665
TM,227169579810.0,7.947,3.321,-9.13,191.83
C,221866176103.0,12.444,1.885,15.06,132.265
BHP,220354551331.0,22.397,3.959,49.64,86.6659
AMGN,220204821957.0,25.207,2.523,26.99,407.48
IBM,217623622746.0,20.291,2.895,-20.43,230.8904
LIN,213334704734.0,29.45,1.384,9.6,462.785
SAN,210559523716.0,11.314,1.409,24.42,14.465
AXP,207657773648.0,18.148,1.141,-16.2,307.57
QCOM,206370965477.0,22.316,1.882,16.67,196.54
STX,203566773993.0,63.884,0.322,225.87,895.22
APH,202431223970.0,39.364,0.617,22.1,82.08
TD,200982159990.0,17.415,2.589,33.25,122.67
TTE,199943440310.0,11.211,4.155,40.73,89.895
VZ,195752233642.0,12.104,5.912,21.49,47.115
CRM,190433970000.0,19.707,0.757,-12.05,231.365
SHOP,189670615088.0,98.399,,-8.42,147.415
GILD,188752173470.0,-58.259,2.16,26.25,152.2941
KOF,187982470737.0,135.294,3.383,20.35,111.465
DE,187107902784.0,38.397,0.949,49.88,694.053
ADI,186882314430.0,45.181,1.126,43.48,385.6699
ABT,180063761225.0,33.182,2.417,-15.4,104.055
PEP,178841740845.0,17.115,4.485,-5.92,131.03
DIS,178772528399.0,20.791,1.474,-8.3,103.535
MCD,177526030882.0,20.205,3.012,-16.31,250.87
TMUS,175928871248.0,16.66,2.517,-17.92,164.01
SCHW,174662907114.0,17.301,1.163,2.09,100.9987
NVO,174174726764.0,9.763,3.337,-19.78,39.425
T,172577332595.0,8.005,4.456,5.03,25.185376
SCCO,172051912896.0,30.391,1.989,48.7,203.77
ETN,171365964000.0,44.755,0.996,39.68,441.21
SMFG,166178918826.0,19.866,2.16,37.9,26.2414
NEE,166158594238.0,17.871,3.057,1.39,79.655
WELL,166092070233.0,107.105,1.287,25.49,230.445
BLK,165713204515.0,25.2,2.059,1.61,1070.3587
WDC,163925348304.0,17.384,0.118,164.21,454.665
UNP,160961785806.0,21.959,2.06,18.9,270.945
BBVA,159231764670.0,12.495,3.085,25.47,28.53
PFE,158422427406.0,36.549,6.193,17.39,27.795
BA,157204596978.0,64.538,,-8.39,198.86
DHR,155978545662.0,38.966,0.67,-2.67,221.88
IBKR,155806111090.0,138.371,0.358,42.3,91.24
BUD,153841232946.0,16.494,1.28,23.19,78.03
COP,152438914048.0,16.433,2.674,38.54,126.89
UBS,150928579235.0,15.854,2.184,9.23,49.295
UBER,143734955715.0,15.007,,-13.88,70.3692
TJX,143549364896.0,23.654,1.39,-14.25,130.4717
ISRG,142226205318.0,45.312,,-28.92,402.59
RDS.A,142170085775.52,42.202,,,51.04
NOW,140191687200.0,83.947,0.0,-11.48,135.6
SONY,137073061406.0,-97.022,0.589,-8.14,23.455
GLW,136194109014.0,71.713,0.703,81.53,158.13
UL,135216373132.0,12.721,3.589,-1.57,62.765
MFG,133053638920.0,16.174,1.596,50.96,10.935
VRTX,132983342995.0,30.188,,15.73,524.67
NEM,131121466203.0,15.252,0.854,25.43,124.44
CB,129196656782.0,11.551,1.191,8.27,334.8401
PLD,128379969403.0,30.507,3.066,8.56,135.408888
BMY,128037354638.0,13.799,3.989,20.13,62.685
FTNT,126081354132.0,59.437,,116.4,171.71
NET,125154898228.0,-606.729,,78.28,351.594
COF,123485295214.0,11.74,1.587,-15.98,201.2538
ACN,122142610501.0,15.683,3.37,-30.02,182.9448
RIO,121505116659.0,10.04,4.792,27.07,96.805
PH,121308793113.0,33.254,0.793,10.11,962.6554
BKNG,121197674650.0,16.812,1.014,-24.16,161.3
BMO,120810506252.0,18.519,2.775,37.12,173.805
LMT,120383918626.0,19.142,2.578,9.8,521.62
HDB,120145239800.0,15.633,1.493,-34.95,23.415
BTI,119844503964.0,13.922,5.668,0.75,55.475
PGR,119230098000.0,10.199,6.605,-4.08,205.18
SPGI,118975384000.0,24.167,0.967,-17.79,403.2651
SNOW,118618416000.0,-108.751,,53.27,336.2518
MDT,117303340202.0,22.406,3.114,-2.89,91.705
BNS,115142870100.0,16.138,3.383,32.27,94.47
