date,fund,cusip,ticker,company,asset_class,shares,market_value,weight
09/11/2026,ARKF,852234103,XYZ,BLOCK INC,equity,790528.0,62507048.96,7.91
09/11/2026,ARKF,MM005473T,,ARK BITCOIN ETF HOLDCO (ARKF),bitcoin_holdco,2096992.0,53640845.66,6.79
09/11/2026,ARKF,172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,593572.0,53611423.04,6.79
09/11/2026,ARKF,82509L107,SHOP,SHOPIFY INC - CLASS A,equity,422127.0,53441278.2,6.77
09/11/2026,ARKF,770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,433692.0,49150314.36,6.22
09/11/2026,ARKF,19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,256234.0,44143993.52,5.59
09/11/2026,ARKF,888787108,TOST,TOAST INC-CLASS A,equity,1113239.0,35556853.66,4.5
09/11/2026,ARKF,69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,192421.0,31914947.06,4.04
09/11/2026,ARKF,023135106,AMZN,AMAZON.COM INC,equity,117160.0,29511432.4,3.74
09/11/2026,ARKF,30303M102,META,META PLATFORMS INC-CLASS A,equity,44083.0,28406203.54,3.6
09/11/2026,ARKF,G16910120,BLSH,BULLISH,equity,745851.0,25269431.88,3.2
09/11/2026,ARKF,58733R102,MELI,MERCADOLIBRE INC,equity,12996.0,24773495.04,3.14
09/11/2026,ARKF,67066G104,NVDA,NVIDIA CORP,equity,111999.0,24456101.64,3.1
09/11/2026,ARKF,PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,31991.0,21693474.59,2.75
09/11/2026,ARKF,83406F102,SOFI,SOFI TECHNOLOGIES INC,equity,1137249.0,19572055.29,2.48
09/11/2026,ARKF,09175A206,BMNR,BITMINE IMMERSION TECHNOLOGI,equity,734466.0,17774077.2,2.25
09/11/2026,ARKF,22788C105,CRWD,CROWDSTRIKE HOLDINGS INC - A,equity,79132.0,16527509.52,2.09
09/11/2026,ARKF,81141R100,SE,SEA LTD-ADR,equity,152376.0,16409371.44,2.08
09/11/2026,ARKF,G6683N103,NU UN,NU HOLDINGS LTD/CAYMAN ISL-A,equity,1082126.0,16253532.52,2.06
09/11/2026,ARKF,BZ1HM42,ADYEN,ADYEN NV,equity,14294.0,15251048.96,1.93
09/11/2026,ARKF,771049103,RBLX,ROBLOX CORP -CLASS A,equity,320209.0,14370979.92,1.82
09/11/2026,ARKF,L8681T102,SPOT,SPOTIFY TECHNOLOGY SA,equity,26476.0,13813323.48,1.75
09/11/2026,ARKF,009066101,ABNB,AIRBNB INC-CLASS A,equity,82300.0,13797595.0,1.75
09/11/2026,ARKF,007903107,AMD,ADVANCED MICRO DEVICES,equity,26224.0,13206406.4,1.67
09/11/2026,ARKF,36118L106,FUTU,FUTU HOLDINGS LTD-ADR,equity,107399.0,12190860.49,1.54
09/11/2026,ARKF,26142V105,DKNG UW,DRAFTKINGS INC-CL A,equity,509034.0,12069196.14,1.53
09/11/2026,ARKF,25809K105,DASH,DOORDASH INC - A,equity,56481.0,11354375.43,1.44
09/11/2026,ARKF,81517B101,SECZ,SECURITIZE CORP,equity,1179868.0,9486138.72,1.2
09/11/2026,ARKF,18915M107,NET,CLOUDFLARE INC - CLASS A,equity,30470.0,9481349.9,1.2
09/11/2026,ARKF,G5279N105,KLAR,KLARNA GROUP PLC,equity,685041.0,9453565.8,1.2
09/11/2026,ARKF,G32089107,ETOR,ETORO GROUP LTD-A,equity,247851.0,7440487.02,0.94
09/11/2026,ARKF,BQ84B35,ETHQ/U,3IQ ETHER STAKING ETF,equity,497416.0,4771195.42,0.6
09/11/2026,ARKF,98954M200,Z,ZILLOW GROUP INC - C,equity,146765.0,4586406.25,0.58
09/11/2026,ARKF,70450C101,PAYP,PAYPAY CORP,equity,235647.0,4298201.28,0.54
09/11/2026,ARKF,BJY21K1,KSPI,JSC KASPI.KZ ADR,equity,39943.0,3880462.45,0.49
09/11/2026,ARKF,BTRDQ40,SOLQ/U,3IQ SOLANA STAKING ETF,equity,402842.0,3279133.88,0.42
09/11/2026,ARKF,X9USDGSFT,,GOLDMAN FS TRSY OBLIG INST 468,cash,895191.0,895190.85,0.11
09/11/2026,ARKF,432705309,CNTN,CANTON STRATEGIC HOLDINGS IN,equity,390059.0,838626.85,0.11
09/11/2026,ARKF,01609W102,BABA,ALIBABA GROUP HOLDING-SP ADR,equity,4307.0,467567.92,0.06
09/11/2026,ARKF,G13311132,,BRERA HOLDINGS PLC-CL B,equity,50337.0,178696.35,0.02
09/11/2026,ARKF,BREADUMMY,,BRERA HOLDINGS PLC WTS,equity,78805.0,115843.79,0.01
09/11/2026,ARKG,88025U109,TXG,10X GENOMICS INC-CLASS A,equity,2814382.0,186818677.16,10.26
09/11/2026,ARKG,90184D100,TWST,TWIST BIOSCIENCE CORP,equity,1196520.0,151778562.0,8.33
09/11/2026,ARKG,88023B103,TEM,TEMPUS AI INC-CL A,equity,2376903.0,139619282.22,7.67
09/11/2026,ARKG,H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,2064555.0,107893644.3,5.92
09/11/2026,ARKG,71535D106,PSNL,PERSONALIS INC,equity,6534895.0,106714835.35,5.86
09/11/2026,ARKG,00091E109,ABSI,ABSCI CORP,equity,10236901.0,84352064.24,4.63
09/11/2026,ARKG,40131M109,GH,GUARDANT HEALTH INC,equity,507266.0,80670511.98,4.43
09/11/2026,ARKG,632307104,NTRA,NATERA INC,equity,238957.0,77933435.98,4.28
09/11/2026,ARKG,14167L103,CDNA,CAREDX INC,equity,1455894.0,72823817.88,4.0
09/11/2026,ARKG,452327109,ILMN,ILLUMINA INC,equity,358021.0,72058886.67,3.96
09/11/2026,ARKG,532457108,LLY,ELI LILLY & CO,equity,63190.0,70962370.0,3.9
09/11/2026,ARKG,20451W101,CMPS,COMPASS PATHWAYS PLC,equity,4441751.0,63161699.22,3.47
09/11/2026,ARKG,07373V105,BEAM,BEAM THERAPEUTICS INC,equity,2437879.0,59411111.23,3.26
09/11/2026,ARKG,67080M103,NRIX,NURIX THERAPEUTICS INC,equity,1673718.0,43198661.58,2.37
09/11/2026,ARKG,75629V104,RXRX,RECURSION PHARMACEUTICALS-A,equity,13571307.0,42885330.12,2.35
09/11/2026,ARKG,00650F109,ADPT,ADAPTIVE BIOTECHNOLOGIES,equity,1765960.0,42789210.8,2.35
09/11/2026,ARKG,81663L200,WGS,GENEDX HOLDINGS CORP,equity,498633.0,41865226.68,2.3
09/11/2026,ARKG,80810D103,SDGR,SCHRODINGER INC,equity,2172459.0,40842229.2,2.24
09/11/2026,ARKG,92337F107,VCYT,VERACYTE INC,equity,918095.0,38587532.85,2.12
09/11/2026,ARKG,03969T109,ARCT UQ,ARCTURUS THERAPEUTICS HOLDIN,equity,2727539.0,38130995.22,2.09
09/11/2026,ARKG,124155102,BFLY,BUTTERFLY NETWORK INC,equity,4747165.0,33799814.8,1.86
09/11/2026,ARKG,45826J105,NTLA,INTELLIA THERAPEUTICS INC,equity,2770933.0,33057230.69,1.82
09/11/2026,ARKG,462222100,IONS,IONIS PHARMACEUTICALS INC,equity,581156.0,32341331.4,1.78
09/11/2026,ARKG,010911105,ALMR,ALAMAR BIOSCIENCES INC,equity,952434.0,26449092.18,1.45
09/11/2026,ARKG,74168J101,PRME,PRIME MEDICINE INC,equity,7476245.0,25045420.75,1.38
09/11/2026,ARKG,370920100,GENB,GENERATE BIOMEDICINES INC,equity,1520770.0,23404650.3,1.29
09/11/2026,ARKG,157085101,CERS,CERUS CORP,equity,7437724.0,18296801.04,1.0
09/11/2026,ARKG,65443P102,MASS,908 DEVICES INC,equity,1895888.0,17726552.8,0.97
09/11/2026,ARKG,69404D108,PACB,PACIFIC BIOSCIENCES OF CALIF,equity,10577575.0,13433520.25,0.74
09/11/2026,ARKG,811033109,SCTX,SCRIBE THERAPEUTICS INC,equity,397741.0,11721427.27,0.64
09/11/2026,ARKG,35661P100,FRNM,FREENOME INC,equity,717897.0,10617696.63,0.58
09/11/2026,ARKG,X9USDGSFT,,GOLDMAN FS TRSY OBLIG INST 468,cash,7877137.0,7877137.4,0.43
09/11/2026,ARKG,74765K105,QSI,QUANTUM-SI INC,equity,6727295.0,4972143.73,0.27
09/11/2026,ARKK,88160R101,TSLA,TESLA INC,equity,1717003.0,624233610.68,9.75
09/11/2026,ARKK,84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,2817961.0,417565460.98,6.52
09/11/2026,ARKK,172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,3939630.0,355827381.6,5.56
09/11/2026,ARKK,88023B103,TEM,TEMPUS AI INC-CL A,equity,5261170.0,309041125.8,4.83
09/11/2026,ARKK,H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,5534962.0,289257114.12,4.52
09/11/2026,ARKK,19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,1660619.0,286091441.32,4.47
09/11/2026,ARKK,770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,2360675.0,267535297.75,4.18
09/11/2026,ARKK,90184D100,TWST,TWIST BIOSCIENCE CORP,equity,1659401.0,210495016.85,3.29
09/11/2026,ARKK,88025U109,TXG,10X GENOMICS INC-CLASS A,equity,3100572.0,205815969.36,3.21
09/11/2026,ARKK,82509L107,SHOP,SHOPIFY INC - CLASS A,equity,1551020.0,196359132.0,3.07
09/11/2026,ARKK,21873S108,CRWV,COREWEAVE INC-CL A,equity,1946263.0,173450958.56,2.71
09/11/2026,ARKK,PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,254476.0,172563178.42,2.69
09/11/2026,ARKK,007903107,AMD,ADVANCED MICRO DEVICES,equity,339702.0,171073927.2,2.67
09/11/2026,ARKK,69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,1022850.0,169649901.0,2.65
09/11/2026,ARKK,15675D103,CBRS,CEREBRAS SYSTEMS INC - A,equity,880393.0,168454396.62,2.63
09/11/2026,ARKK,67066G104,NVDA,NVIDIA CORP,equity,745373.0,162759648.28,2.54
09/11/2026,ARKK,023135106,AMZN,AMAZON.COM INC,equity,634555.0,159838058.95,2.5
09/11/2026,ARKK,852234103,XYZ,BLOCK INC,equity,2016679.0,159458808.53,2.49
09/11/2026,ARKK,07373V105,BEAM,BEAM THERAPEUTICS INC,equity,6383641.0,155569331.17,2.43
09/11/2026,ARKK,G16910120,BLSH,BULLISH,equity,4122488.0,139669893.44,2.18
09/11/2026,ARKK,09175A206,BMNR,BITMINE IMMERSION TECHNOLOGI,equity,5298681.0,128228080.2,2.0
09/11/2026,ARKK,30303M102,META,META PLATFORMS INC-CLASS A,equity,192097.0,123783464.86,1.93
09/11/2026,ARKK,45826J105,NTLA,INTELLIA THERAPEUTICS INC,equity,9885268.0,117931247.24,1.84
09/11/2026,ARKK,11135F101,AVGO,BROADCOM INC,equity,312529.0,112769839.07,1.76
09/11/2026,ARKK,02079K107,GOOG,ALPHABET INC-CL C,equity,327886.0,108330255.54,1.69
09/11/2026,ARKK,18915M107,NET,CLOUDFLARE INC - CLASS A,equity,274719.0,85484311.23,1.34
09/11/2026,ARKK,81663L200,WGS,GENEDX HOLDINGS CORP,equity,971376.0,81556728.96,1.27
09/11/2026,ARKK,03945R102,ACHR,ARCHER AVIATION INC-A,equity,14441261.0,78704872.45,1.23
09/11/2026,ARKK,98386P102,XE,X-ENERGY INC,equity,4533531.0,71788463.39,1.12
09/11/2026,ARKK,632307104,NTRA,NATERA INC,equity,212691.0,69367042.74,1.08
09/11/2026,ARKK,452327109,ILMN,ILLUMINA INC,equity,340441.0,68520560.07,1.07
09/11/2026,ARKK,874039100,TSM,TAIWAN SEMICONDUCTOR-SP ADR,equity,152970.0,65475749.1,1.02
09/11/2026,ARKK,50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,1370751.0,64397881.98,1.01
09/11/2026,ARKK,773121108,RKLB UQ,ROCKET LAB,equity,1036380.0,64214104.8,1.0
09/11/2026,ARKK,75629V104,RXRX,RECURSION PHARMACEUTICALS-A,equity,19983427.0,63147629.32,0.99
09/11/2026,ARKK,880770102,TER,TERADYNE INC,equity,169393.0,62707594.67,0.98
09/11/2026,ARKK,05605H100,BWXT,BWX TECHNOLOGIES INC,equity,368588.0,56205984.12,0.88
09/11/2026,ARKK,92337F107,VCYT,VERACYTE INC,equity,1236360.0,51964210.8,0.81
09/11/2026,ARKK,83406F102,SOFI,SOFI TECHNOLOGIES INC,equity,2201015.0,37879468.15,0.59
09/11/2026,ARKK,532457108,LLY,ELI LILLY & CO,equity,28038.0,31486674.0,0.49
09/11/2026,ARKK,157085101,CERS,CERUS CORP,equity,8965215.0,22054428.9,0.34
09/11/2026,ARKK,00214Q724,ARKY,ARK ACTIVE AUTOCALL INC ETF,equity,1001947.0,20279407.28,0.32
09/11/2026,ARKK,69404D108,PACB,PACIFIC BIOSCIENCES OF CALIF,equity,12638262.0,16050592.74,0.25
09/11/2026,ARKK,X9USDGSFT,,GOLDMAN FS TRSY OBLIG INST 468,cash,4205071.0,4205070.57,0.07
09/11/2026,ARKK,G13311132,,BRERA HOLDINGS PLC-CL B,equity,200857.0,713042.35,0.01
09/11/2026,ARKK,BREADUMMY,,BRERA HOLDINGS PLC WTS,equity,431626.0,634489.78,0.01
09/11/2026,ARKK,02079K305,GOOGL,ALPHABET INC-CL A,equity,1884.0,626618.4,0.01
09/11/2026,ARKQ,88160R101,TSLA,TESLA INC,equity,563948.0,205028934.88,10.87
09/11/2026,ARKQ,84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,1053214.0,156065250.52,8.28
09/11/2026,ARKQ,880770102,TER,TERADYNE INC,equity,324965.0,120298793.35,6.38
09/11/2026,ARKQ,50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,2241950.0,105326811.0,5.59
09/11/2026,ARKQ,67066G104,NVDA,NVIDIA CORP,equity,428976.0,93671199.36,4.97
09/11/2026,ARKQ,02079K107,GOOG,ALPHABET INC-CL C,equity,259897.0,85867369.83,4.55
09/11/2026,ARKQ,69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,496166.0,82294092.76,4.36
09/11/2026,ARKQ,007903107,AMD,ADVANCED MICRO DEVICES,equity,155626.0,78373253.6,4.16
09/11/2026,ARKQ,874039100,TSM,TAIWAN SEMICONDUCTOR-SP ADR,equity,160893.0,68867030.79,3.65
09/11/2026,ARKQ,773121108,RKLB UQ,ROCKET LAB,equity,1095025.0,67847749.0,3.6
09/11/2026,ARKQ,023135106,AMZN,AMAZON.COM INC,equity,264140.0,66534224.6,3.53
09/11/2026,ARKQ,244199105,DE,DEERE & CO,equity,82537.0,55955133.78,2.97
09/11/2026,ARKQ,502431109,LHX,L3HARRIS TECHNOLOGIES INC,equity,216314.0,53725908.18,2.85
09/11/2026,ARKQ,03945R102,ACHR,ARCHER AVIATION INC-A,equity,8928306.0,48659267.7,2.58
09/11/2026,ARKQ,008073108,AVAV,AEROVIRONMENT INC,equity,328743.0,48346589.3,2.56
09/11/2026,ARKQ,11135F101,AVGO,BROADCOM INC,equity,121203.0,43733678.49,2.32
09/11/2026,ARKQ,896239100,TRMB,TRIMBLE INC,equity,668515.0,37998392.6,2.02
09/11/2026,ARKQ,500458401,KMTUY,KOMATSU LTD -SPONS ADR,equity,783373.0,37037875.44,1.96
09/11/2026,ARKQ,46125A100,LUNR,INTUITIVE MACHINES INC,equity,2332102.0,34095331.24,1.81
09/11/2026,ARKQ,051774107,AUR,AURORA INNOVATION INC,equity,5073552.0,32115584.16,1.7
09/11/2026,ARKQ,13321L108,CCJ,CAMECO CORP,equity,318121.0,30991347.82,1.64
09/11/2026,ARKQ,05605H100,BWXT,BWX TECHNOLOGIES INC,equity,202133.0,30823261.17,1.63
09/11/2026,ARKQ,25809K105,DASH,DOORDASH INC - A,equity,148622.0,29877480.66,1.58
09/11/2026,ARKQ,87151X101,SYM UQ,SYMBOTIC INC,equity,643062.0,26429848.2,1.4
09/11/2026,ARKQ,149123101,CAT,CATERPILLAR INC,equity,32131.0,25865455.0,1.37
09/11/2026,ARKQ,46120E602,ISRG,INTUITIVE SURGICAL INC,equity,65916.0,23760081.36,1.26
09/11/2026,ARKQ,98386P102,XE,X-ENERGY INC,equity,1483627.0,23493233.55,1.25
09/11/2026,ARKQ,M3760D101,ESLT,ELBIT SYSTEMS LTD,equity,29371.0,21261960.61,1.13
09/11/2026,ARKQ,G65163100,JOBY,JOBY AVIATION INC,equity,3246570.0,20485856.7,1.09
09/11/2026,ARKQ,950915108,WRD,WERIDE INC-ADR,equity,3577272.0,20372564.04,1.08
09/11/2026,ARKQ,732908108,PONY,PONY AI INC,equity,2796770.0,18542585.1,0.98
09/11/2026,ARKQ,02156V109,OKLO,OKLO INC,equity,444227.0,17715772.76,0.94
09/11/2026,ARKQ,871607107,SNPS,SYNOPSYS INC,equity,42845.0,17016748.65,0.9
