symbol,market_capital,pe_ttm,dividend_yield,ytd_pct,price
NVDA,5551676000000.0,28.783,0.122,23.67,230.36
AAPL,4669699774600.0,36.219,0.333,18.02,319.97
GOOGL,4139365800000.0,16.95,0.314,8.34,338.46
GOOG,4100841300000.0,16.793,0.317,7.06,335.31
MSFT,3710545081853.0,27.743,0.729,3.98,499.7
AMZN,2788369921498.0,20.612,,12.0,258.51
TSM,2224530563340.0,31.697,0.646,41.71,428.91
SPCX,1950244342863.0,,,9.59,147.95
AVGO,1702714164963.0,44.498,0.707,3.79,357.895
META,1571225414393.0,23.073,0.338,-6.4,616.77
TSLA,1398455741268.0,367.628,,-21.27,354.08
SKHY,1290091935000.0,10.727,,5.35,177.0
SKHYV,1224566926550.0,24.506,,,168.01
MU,1148129783375.0,22.749,0.052,256.39,1016.59
BRK.A,1083698773271.0,12.635,,0.6,759350.01
BRK.B,1083263562771.0,12.63,,0.67,506.03
LLY,1081958156228.0,40.506,0.583,7.47,1149.36
JPM,953331896975.0,14.652,1.693,12.88,358.64
WMT,850021572261.0,38.504,0.916,-3.22,107.14
AMD,779621105808.0,121.172,,123.0,477.57
V,669285610247.0,29.625,0.722,7.59,375.07
JNJ,663276390852.0,31.529,1.917,35.13,275.23
ASML,658685408000.0,53.293,0.451,60.95,1714.88
XOM,655726600261.0,20.018,2.614,35.17,159.47
MA,507393717347.0,31.211,0.591,1.96,579.21
INTC,506408884100.0,,,159.62,95.8
ORCL,457361185380.0,26.767,1.255,-17.75,158.78
ABBV,453194898911.0,71.822,2.664,14.89,256.46
BAC,438305467518.0,13.03,2.363,15.79,62.68
CSCO,430530486532.0,32.451,1.523,43.83,109.2
PLTR,418925184818.0,138.869,,-1.92,174.33
CVX,412145887756.0,20.016,3.411,40.69,208.6
COST,406111279975.0,45.951,0.605,6.66,915.74
LRCX,384968905650.0,52.987,0.339,80.07,307.65
KO,378925511831.0,26.469,2.362,27.66,88.07
CAT,374147779153.0,34.503,0.763,42.95,813.94
MRK,370889912341.0,116.889,2.246,44.91,150.33
HSBC,367731418295.0,14.428,3.503,41.44,107.11
AMAT,360856693307.0,38.94,0.435,77.57,454.71
UNH,356470817538.0,25.242,2.277,21.93,397.14
GE,349783074383.0,38.99,0.497,9.74,337.12
MS,341943693094.0,16.966,1.917,24.66,217.72
DELL,340464721948.0,29.923,0.445,320.19,524.14
PG,340132133369.0,21.197,2.937,4.46,146.44
NFLX,325828279647.0,23.871,0.0,-16.54,78.25
HD,320308254427.0,22.514,2.891,-4.67,321.05
NVS,304095367252.0,23.838,1.947,18.32,159.99
GS,302413536063.0,14.419,1.756,19.89,1038.61
RY,291547071371.0,17.733,2.283,26.0,210.59
PM,284493711021.0,26.163,3.219,15.76,182.53
BABA,281472018049.0,25.638,0.878,-22.05,113.24
WFC,272069220260.0,12.033,2.093,-1.88,89.97
PANW,271606900000.0,884.713,,80.92,333.26
MUFG,271151373020.0,21.235,1.802,53.98,24.09
RTX,270616357734.0,34.972,1.401,10.67,200.79
ARM,269232120000.0,257.885,,130.62,252.09
SHEL,258908884656.0,9.969,3.317,29.97,92.95
SNDK,254769061740.0,22.284,,633.0,1740.0
