symbol,market_capital,pe_ttm,dividend_yield,ytd_pct,price
NVDA,5045216000000.0,31.609,0.13,11.92,208.48
AAPL,4529157821200.0,35.129,0.345,14.47,310.34
GOOGL,4256773800000.0,17.431,0.244,11.35,348.06
GOOG,4214335700000.0,17.257,0.246,9.96,344.59
MSFT,3618542573219.0,27.055,0.753,1.4,487.31
AMZN,2826769197814.0,20.896,,13.54,262.07
TSM,2127076716880.0,30.537,0.661,35.5,410.12
SPCX,1779540292575.0,,,0.0,135.0
AVGO,1706829471834.0,58.22,0.687,4.04,358.76
META,1424106929900.0,20.913,0.379,-15.16,559.02
TSLA,1378194563136.0,362.301,,-22.41,348.95
SKHYV,1224566926550.0,24.506,,,168.01
LLY,1173806365060.0,43.945,0.534,16.59,1246.93
SKHY,1132438327350.0,9.684,,-7.52,155.37
BRK.B,1079602948396.0,12.587,,0.33,504.32
BRK.A,1078391225340.0,12.573,,0.11,755631.0
MU,1028233406465.0,20.374,0.055,219.17,910.43
JPM,947350978036.0,14.56,1.726,12.18,356.39
WMT,847455849216.0,38.388,0.943,-3.81,106.49
AMD,745624813058.0,115.888,,113.27,456.745
V,682383315687.0,30.205,0.73,9.69,382.41
XOM,674559157038.0,20.593,2.524,39.06,164.05
ASML,668383933000.0,53.869,0.439,63.32,1740.13
JNJ,657998712925.0,31.278,1.938,33.4,273.04
MA,525483322608.0,32.324,0.589,5.59,599.86
ABBV,467437864228.0,74.079,2.578,18.51,264.52
INTC,461265545162.0,,,136.48,87.26
BAC,435858005590.0,12.958,1.882,14.56,62.33
CSCO,434464343123.0,32.748,1.498,45.19,110.23
COST,430795310206.0,48.744,0.585,13.14,971.4
PLTR,422673956047.0,140.112,,-1.05,175.89
ORCL,410323093950.0,24.014,1.361,-26.21,142.45
CVX,401259388037.0,19.487,3.466,36.97,203.09
KO,395791504864.0,27.647,2.283,33.34,91.99
LRCX,388122234570.0,53.421,0.332,81.54,310.17
AMAT,384251945926.0,41.465,0.402,89.08,484.19
CAT,372805528477.0,34.379,0.75,42.44,811.02
MRK,371704078981.0,117.146,2.214,45.23,150.66
UNH,357924921190.0,25.345,2.318,22.43,398.76
HSBC,357443931248.0,14.025,3.602,37.45,104.09
GE,354680369444.0,39.536,0.481,11.28,341.84
PG,340761886596.0,21.237,2.971,4.57,146.6
HD,336457082007.0,23.649,2.756,-0.54,337.43
MS,336226831791.0,16.682,1.949,22.58,214.08
NFLX,333156813477.0,24.408,0.0,-14.67,80.01
GS,301735106682.0,14.387,1.674,19.04,1036.28
NVS,300350959017.0,23.544,1.961,16.86,158.02
PM,298412129031.0,27.443,3.122,21.43,191.46
PANW,285983500000.0,339.285,,90.5,350.9
BABA,283957617051.0,25.949,0.864,-18.45,118.47
RY,283534524257.0,17.713,2.334,22.07,204.02
RTX,281977958888.0,36.441,1.34,15.32,209.22
DELL,281386486246.0,33.463,0.528,247.28,433.19
SHEL,259048157859.0,9.974,3.303,30.04,93.0
AZN,258572776280.0,24.753,1.946,84.46,166.71
WFC,256193223746.0,11.331,2.246,-7.6,84.72
ARM,255017040000.0,244.269,,118.44,238.78
SAP,252377372000.0,27.76,0.984,-8.85,218.66
GEV,250912866660.0,26.332,0.185,44.41,942.1
MUFG,247176594086.0,19.748,1.969,40.37,21.96
BHP,246777788202.0,25.097,2.707,64.03,97.13
