symbol,market_capital,pe_ttm,dividend_yield,ytd_pct,price
NVDA,5445242000000.0,34.115,0.124,20.8,225.01
AAPL,4459835466200.0,34.591,0.349,12.71,305.59
GOOGL,4207120000000.0,17.228,0.243,10.05,344.0
GOOG,4175933500000.0,17.1,0.245,8.95,341.45
MSFT,3566860776602.0,26.668,0.719,-0.23,480.35
AMZN,2818571599499.0,20.835,,13.21,261.31
TSM,2235214699780.0,32.08,0.65,42.39,430.97
SPCX,1927571681357.0,,,8.32,146.23
AVGO,1867017197101.0,63.684,0.644,13.8,392.43
META,1449454616838.0,21.285,0.353,-13.65,568.97
TSLA,1340081430784.0,352.282,,-24.55,339.3
SKHY,1249129693900.0,23.48,,2.01,171.38
SKHYV,1224566926550.0,24.506,,,168.01
MU,1142663520524.0,22.641,0.054,254.69,1011.75
LLY,1113776025025.0,41.697,0.568,10.63,1183.16
BRK.A,1066644436000.0,12.436,,-0.98,747400.0
BRK.B,1066566023515.0,12.435,,-0.88,498.23
JPM,959498888947.0,14.746,1.673,13.61,360.96
WMT,909847189791.0,40.018,0.634,3.03,114.33
AMD,826032371252.0,128.386,,136.27,506.0
ASML,723306392000.0,58.632,0.42,76.74,1883.12
XOM,663909305062.0,20.268,2.603,36.86,161.46
V,640324335141.0,28.343,0.744,2.93,358.84
JNJ,632285094895.0,30.056,2.012,28.19,262.37
INTC,547059033564.0,,,180.46,103.49
MA,492545348864.0,30.297,0.601,-1.03,562.26
BAC,446766693040.0,13.282,1.8,17.43,63.89
CSCO,444987973679.0,33.541,1.489,48.7,112.9
ABBV,442362469954.0,70.105,2.738,12.15,250.33
LRCX,430254212640.0,59.22,0.314,101.25,343.84
AMAT,425014422473.0,45.863,0.377,108.82,535.31
COST,422857039614.0,47.845,0.577,11.06,953.5
ORCL,422421072150.0,24.722,1.324,-24.03,146.65
PLTR,414647740724.0,137.451,,-2.93,172.55
CAT,405272365887.0,37.373,0.725,54.84,881.65
CVX,400488837240.0,19.45,3.415,35.53,202.7
GE,383306719178.0,42.727,0.455,20.26,369.43
KO,374235733156.0,26.141,2.371,26.08,86.98
HSBC,356613283718.0,13.992,3.613,37.07,103.8
UNH,355106473370.0,25.146,2.251,21.47,395.62
MS,342713270577.0,17.004,1.92,24.94,218.21
HD,336905784514.0,24.044,2.73,-0.41,337.88
MRK,335461327619.0,105.724,2.486,31.07,135.97
PG,332672859547.0,20.732,2.973,2.09,143.12
NFLX,316542694170.0,23.191,0.0,-18.92,76.02
DELL,310025598379.0,36.868,0.478,284.65,479.81
PANW,306244400000.0,363.322,,104.0,375.76
GS,306111412944.0,14.595,1.674,20.76,1051.31
RY,300447646305.0,18.803,2.212,29.35,216.19
BABA,298914108402.0,19.442,0.833,-14.15,124.71
RTX,298717115036.0,38.604,1.262,22.16,221.64
ARM,289887240000.0,277.67,,148.31,271.43
NVS,288851634235.0,22.643,2.065,12.38,151.97
PM,287595351764.0,26.448,3.086,17.03,184.52
