symbol,market_capital,pe_ttm,dividend_yield,ytd_pct,price
NVDA,5279587000000.0,27.342,0.237,17.74,219.0772
AAPL,4664591811600.0,36.159,0.338,17.89,319.62
GOOGL,4040995018000.0,16.543,0.258,5.77,330.4501
GOOG,4012051500000.0,16.424,0.26,4.75,328.0973
MSFT,3657897964322.0,27.349,0.741,2.51,492.6388
AMZN,2727265455112.0,20.162,,9.54,252.82
TSM,2242008980720.0,31.92,0.636,42.82,432.2693
SPCX,1980496527837.0,-240.827,,11.29,150.24
AVGO,1733923891062.0,45.291,0.694,5.69,364.4207
META,1662999326149.0,24.45,0.318,-0.93,652.8411
TSLA,1447963317851.0,380.419,,-18.48,366.615
SKHY,1410063196300.0,11.663,,15.15,193.2014
SKHYV,1224566926550.0,24.506,,,168.01
MU,1113084713900.0,22.038,0.051,245.51,985.56
BRK.B,1083670297701.0,12.635,,0.71,506.2558
BRK.A,1083345342050.0,12.629,,0.57,759102.36
LLY,1063272218488.0,39.809,0.596,5.61,1129.444
JPM,940134002517.0,14.449,1.711,11.32,353.7144
WMT,841810144901.0,38.129,0.927,-4.16,106.1086
AMD,830913471628.0,128.89,,137.67,508.99
XOM,678362675601.0,20.711,2.538,39.84,164.95
ASML,657325694000.0,53.052,0.448,60.61,1711.8146
V,655991617669.0,29.027,0.737,5.45,367.62
JNJ,642237976101.0,30.522,1.976,30.85,266.5
INTC,538099085145.0,-47.626,,175.87,101.7986
MA,495812865941.0,30.499,0.603,-0.37,566.01
ORCL,457922877225.0,26.783,1.233,-17.65,158.9929
ABBV,446038073907.0,70.687,2.722,13.08,252.44
BAC,437221591522.0,13.0,1.889,15.5,62.509
CSCO,429308284601.0,32.353,1.52,43.42,108.852
CVX,422202563541.0,20.506,3.328,44.12,213.69
PLTR,401743316686.0,133.034,,-5.95,167.175
COST,400723012506.0,45.334,0.614,5.25,903.515
LRCX,380551742520.0,52.379,0.33,78.0,304.29
KO,380452916812.0,26.572,2.376,28.18,88.4286
CAT,370433606050.0,34.158,0.761,41.53,806.0
AMAT,364475497647.0,39.252,0.422,79.35,458.859305
MRK,357900253666.0,112.78,2.289,39.84,145.0758
HSBC,356036347671.0,13.969,3.571,36.99,103.745
UNH,351022416816.0,24.857,2.3,20.07,391.09
MS,337310522533.0,16.736,1.938,22.97,214.78
GE,336896547971.0,37.554,0.515,5.7,324.77
PG,330434976467.0,20.593,3.015,1.48,142.2672
DELL,329834222190.0,28.972,0.446,315.88,518.72
NFLX,316417775979.0,23.184,0.0,-18.95,75.9951
HD,305856720195.0,21.499,2.989,-8.97,306.6
GS,298197374075.0,14.218,1.773,18.22,1024.5
PM,295435177362.0,27.177,3.164,20.22,189.5804
RY,285953974983.0,17.355,2.325,23.58,206.55
PANW,279235300000.0,907.796,,86.0,342.64
ARM,272534376000.0,260.857,,133.45,255.49
BABA,270337418508.0,24.653,0.909,-25.13,108.785362
WFC,270103620692.0,11.948,2.1,-2.59,89.32
SHEL,267474186650.0,10.294,3.225,34.27,96.025
RTX,265656607764.0,34.316,1.424,8.64,197.1519
MUFG,263384895337.0,20.308,1.876,49.57,23.4
NVS,263096948153.0,20.621,2.266,2.36,138.405
SNDK,249063845366.0,21.773,,616.59,1701.035
GEV,247487816808.0,25.982,0.186,42.44,930.08
AZN,247453473768.0,23.677,2.058,76.53,159.55
ANET,241392091504.0,59.651,,46.07,191.395
SAP,238630850000.0,26.319,1.028,-13.82,206.73
TXN,237873624772.0,39.302,2.163,52.66,260.585
KLAC,234995504390.0,48.564,0.46,48.57,179.86
C,231779827491.0,12.993,1.848,20.2,138.175
TM,228022220676.0,7.815,3.347,-8.79,192.575
IBM,224199720788.0,20.895,2.799,-18.03,238.0326
BHP,222691991515.0,22.634,3.694,51.22,87.6052
TMO,222449210940.0,31.927,0.301,4.03,601.625
CRWD,218476977238.0,4849.667,0.0,82.07,213.37
AXP,216997308638.0,18.955,1.112,-12.44,321.33
SAN,212742996137.0,11.259,1.403,25.71,14.615
LIN,212576392366.0,29.346,1.357,9.21,461.14
AMGN,207494563519.0,23.718,2.535,19.66,383.77
VZ,207427151960.0,12.829,5.667,28.73,49.92
TTE,203226342784.0,11.394,4.083,43.04,91.1731
MRVL,202756818000.0,76.639,0.101,172.49,231.295
CRM,202071190000.0,20.912,0.75,-6.84,245.58
APH,198313059224.0,38.552,0.559,19.43,80.42
NVO,196796830397.0,10.851,2.98,-9.38,44.535
STX,195504577421.0,61.317,0.319,212.97,859.1697
TD,195231386520.0,16.653,2.695,29.44,119.17
TMUS,188441585614.0,17.847,2.346,-12.09,175.675
QCOM,187519266595.0,20.243,2.072,6.02,178.5
PEP,186880952121.0,17.877,4.252,-1.69,136.9289
KOF,186140461010.0,131.442,3.444,19.17,110.76
SCHW,185177268255.0,18.337,1.167,8.24,107.08
DE,183172719896.0,37.582,0.96,46.73,679.1925
DIS,181336658448.0,21.086,1.474,-6.98,105.02
ABT,180392534189.0,33.252,2.365,-15.25,104.2547
MCD,179351746032.0,20.409,2.946,-15.45,253.455
GILD,179105322364.0,-55.262,2.213,19.13,144.3811
ADI,175613792998.0,42.438,1.182,34.83,362.1668
T,174804357932.0,8.11,4.509,6.39,25.51
NEE,172072342460.0,18.5,2.945,5.0,82.4901
WELL,170960702377.0,110.224,1.27,29.17,237.1496
UNP,169584791659.0,23.136,1.951,25.27,285.415
SMFG,168775464432.0,19.822,2.189,40.06,26.65
WDC,167395554890.0,17.707,0.11,169.8,464.29
BLK,166102700702.0,25.259,2.094,1.85,1072.97
UBS,165701485104.0,17.399,2.033,19.92,54.125
SCCO,165048082021.0,29.14,1.883,42.65,195.5
COP,164523167749.0,17.725,2.498,49.52,136.95
BA,163448520136.0,67.108,,-4.75,206.7591
SHOP,163390912798.0,84.746,,-21.11,126.9879
BBVA,161547964542.0,12.493,3.067,27.3,28.945
ETN,160051872000.0,41.786,1.045,30.46,412.08
PFE,156798020433.0,36.187,6.184,16.18,27.5186
BUD,154038389467.0,16.511,1.28,23.34,78.1197
IBKR,153330016602.0,136.127,0.37,40.04,89.8
UBER,145205599002.0,15.161,,-13.0,71.0977
GLW,142749274213.0,75.045,0.663,90.27,165.8116
RDS.A,142170085775.52,42.202,,,51.04
DHR,142073481513.0,35.483,0.706,-11.34,202.05
TJX,139179717938.0,22.94,1.443,-16.86,126.5333
NOW,138434121800.0,82.895,0.0,-12.59,133.9
SONY,138179087679.0,-95.822,0.593,-7.54,23.605
MFG,134513761157.0,15.999,1.618,52.62,11.055
NEM,133376367663.0,15.506,0.817,27.59,126.585
UL,133161144582.0,12.343,3.57,-3.06,61.81
BKNG,132310592245.0,18.348,0.743,-17.4,176.09
VRTX,131373866128.0,29.822,,14.33,518.0922
BMY,130948223023.0,14.111,3.878,22.86,64.1166
CB,130600852529.0,11.673,1.184,9.12,338.3919
PLD,128332565234.0,30.496,3.01,7.66,135.36
COF,127699936038.0,12.136,1.542,-13.11,208.0334
ISRG,127406191624.0,40.589,,-36.32,360.655
PGR,125186373000.0,10.707,6.505,0.71,215.2798
RIO,125107406673.0,10.333,4.482,30.84,99.7
SPGI,122966976000.0,24.968,0.935,-15.03,416.721
CVS,122052142314.0,24.962,2.775,23.06,95.449689
LMT,121674876013.0,19.352,2.631,10.98,527.1
BP,120676339145.0,21.973,4.391,37.66,46.105
BMO,120494239284.0,18.181,2.848,36.76,173.38
BTI,119444842256.0,13.681,5.816,0.41,55.2867
ACN,118943796371.0,15.271,3.567,-31.85,178.11
FTNT,118237955181.0,55.754,,102.93,161.27
SNOW,117852840000.0,-107.98,,52.28,333.97
PH,117633170207.0,32.246,0.801,6.83,933.0001
MDT,117207404861.0,22.404,3.109,-2.97,91.63
MO,114694710277.0,14.387,6.265,22.94,68.69
SBUX,114051300000.0,57.523,2.477,20.96,100.045
VLO,113167009271.0,15.691,1.255,145.01,393.0396
MPC,113121831032.0,13.226,1.041,150.57,402.88
BNS,113009917600.0,15.586,3.502,29.82,92.72
NET,112174012218.0,-543.057,,59.79,315.165
HDB,111858476517.0,14.532,1.599,-39.44,21.8
PDD,111395007116.0,8.112,,-30.98,78.25
BNY,110528324732.0,17.544,1.383,42.07,162.94
LOW,110017082586.0,16.561,2.44,-17.42,196.0417
DHR.WD,108776501000.0,44.2807,,,150.55
SPOT,108729374340.0,27.997,,-8.93,529.13
EQNR,107942319156.0,11.914,3.323,97.0,45.1487
ENB,105975135273.0,23.882,5.505,5.5,48.521
ADP,105957917213.0,24.008,2.539,5.34,266.719009
CNQ,105868332500.0,12.433,3.464,54.79,51.355
APP,105799913650.0,23.971,,-53.08,316.15
SYK,105202579326.0,28.201,1.262,-21.54,274.2
ING,104979587000.0,11.882,3.588,36.87,36.7087
PSX,104966442163.0,14.799,1.93,108.13,262.9323
CM,104158353333.0,14.205,2.674,28.54,114.75
SNY,103832176987.0,22.548,4.714,-7.76,42.765
IBN,103407670950.0,5.657,0.731,-2.57,28.825
MCK,103106687519.0,22.458,0.392,8.13,884.245
CEG,102862518271.0,29.686,0.558,-17.45,290.51
HOOD,102801067095.0,49.545,,1.1,114.34
EQIX,102109407540.0,66.59,1.929,37.13,1034.84
FCX,101957244133.0,34.603,0.813,40.79,71.01
ABNB,101533094168.0,37.731,,24.94,169.6499
SO,101254948267.0,21.738,3.32,3.42,88.02
AEM,100417216180.0,17.083,0.857,17.74,198.355
ADBE,99708900000.0,13.815,,-28.33,250.92
CME,98715295071.0,23.022,4.111,3.95,274.485
MELI,97404526135.0,52.338,,-4.61,1922.315
GSK,97262041942.0,14.89,3.683,0.6,48.085
TT,97162234963.0,32.948,0.925,14.26,441.6301
USB,96817316854.0,11.853,3.344,18.66,62.14
VRT,96558883670.0,55.745,0.085,54.88,250.805
PNC,96358858609.0,12.632,2.927,18.44,241.525
BX,95802283300.0,27.23,4.023,-14.6,127.63
GD,95587856994.0,21.298,1.751,6.33,353.3
BK,94143749812.0,15.793,1.563,,137.16
PWR,93668444141.0,70.548,0.068,47.71,623.22
DUK,93291367392.0,17.777,3.549,4.75,119.65
HWM,91995506721.0,49.133,0.216,12.68,230.695
KKR,91199777062.0,28.928,0.727,-19.85,101.59
CSX,90724959060.0,28.149,1.141,36.34,48.98
HCA,90642683005.0,13.252,0.745,-10.01,418.5814
WMB,90006778427.0,29.29,2.725,24.21,73.586834
ASX,89813797145.0,47.078,0.752,151.42,40.175
MMC,89506499084.0,21.688,1.883,,182.7
ELV,89378340488.0,18.009,2.221,19.29,412.12
CMCSA,88272334753.0,7.887,5.437,-7.84,24.875
ICE,88183846018.0,21.838,1.295,-2.34,157.0426
BCS,88119051047.0,8.293,2.296,5.25,26.195
JCI,87353977389.0,24.397,1.134,21.13,144.19
DASH,87279203450.0,103.688,,-11.06,201.45
WM,86518351577.0,30.302,1.648,-0.66,216.1534
MAR,86244538262.0,33.327,0.856,7.24,330.735
LITE,86118279000.0,-12.406,,160.47,960.07
BN,85365119486.0,59.787,0.696,-16.39,38.245
LYG,85324707360.0,12.1,3.632,15.21,5.885
UPS,85010095673.0,18.589,6.602,5.52,99.92
MRSH,84960308098.0,21.346,2.114,-1.0,178.035
MNST,84866122416.0,39.896,0.0,13.0,43.315
INTU,84145935500.0,18.432,1.584,-52.02,314.89
MMM,83675962158.0,27.92,1.896,2.77,162.1773
EMR,82730107000.0,32.103,1.483,13.02,148.3076
SLB,82592570805.0,26.637,2.063,47.38,55.6481
REGN,81991293343.0,18.941,0.466,3.57,796.3125
E,81865819260.0,13.32,3.047,50.43,56.2
MCO,81466066683.0,29.147,0.863,-7.3,469.890436
DDOG,81283813183.0,457.336,,66.46,226.39
SU,80979306187.0,12.524,2.543,59.35,69.1763
AMT,80531875096.0,23.673,3.988,0.37,172.95
PBR,79855142729.0,3.126,5.585,89.49,21.46
CTAS,79843831659.0,39.923,0.936,6.9,199.4549
MDLZ,79214059558.0,22.522,3.223,17.27,62.065
BE,78831716794.0,321.363,,208.04,267.84
CDNS,78729350840.0,57.13,,-8.54,285.88
CVNA,78463066801.0,50.023,0.0,-15.53,71.3
CP,78418262177.0,28.001,0.787,21.69,89.205
EOG,77231675874.0,11.228,2.833,43.71,147.23
NGG,77191546712.0,17.58,4.146,1.87,76.7632
MSI,76976953081.0,36.063,1.032,22.03,465.1368
APO,76811948691.0,40.966,1.613,-9.02,130.01
SHW,76631465526.0,28.511,1.009,-1.89,315.7547
SNPS,76585669207.0,71.093,,-14.92,399.2028
TRV,76288400047.0,9.187,1.643,27.52,365.4572
DB,76043130000.0,9.753,2.954,8.84,40.465
BAM,75901397600.0,25.644,4.109,-6.5,47.51
ECL,75514919076.0,35.681,1.052,3.17,269.2593
CMI,75233642146.0,27.71,1.481,8.16,546.9
HPE,75134506491.0,26.849,0.946,137.84,56.6
ITW,75002080000.0,23.48,2.465,8.25,263.315
GM,74732547747.0,38.322,0.848,5.43,85.17
NTES,74230607724.0,15.306,2.516,-14.07,115.925
CI,74114171513.0,11.553,2.231,3.64,280.575
FDX,73808041859.0,16.648,1.338,35.12,311.75
NOC,73743496166.0,16.402,1.856,-7.85,519.2
CNI,73377006500.0,21.189,2.169,24.99,121.475
NWG,73292326011.0,8.529,4.978,11.6,18.44
NU,73209086627.0,20.262,,-9.47,15.1564
NSC,72629363493.0,27.555,1.67,13.43,323.38
MFC,72228630000.0,15.309,3.223,23.5,43.585
ROST,71987161073.0,27.072,0.777,25.85,225.42
RACE,71927865742.0,37.748,1.062,12.0,409.1889
B,71925149110.0,11.015,2.153,2.01,43.7
TGT,71588079659.0,16.3,2.902,65.65,157.5446
WBD,70814386971.0,-22.362,,-2.13,28.205
SPG,70610244852.0,15.269,4.182,14.93,205.83
CL,70207011050.0,34.461,2.397,13.48,88.07
DLR,69868335262.0,87.445,2.4,23.37,188.19
KMI,69353751062.0,20.004,3.754,16.53,31.14
WPM,69332060715.0,33.808,0.478,30.47,152.655
HLT,69308739035.0,43.74,0.198,7.36,307.95
ORLY,69117610068.0,26.078,,-6.33,85.4183
RCL,69007986714.0,15.707,1.947,-6.52,258.4167
AMX,68814500000.0,12.978,2.554,12.11,22.895
RSG,68221189369.0,31.203,1.13,6.04,222.79
AEP,67516159595.0,21.478,3.028,10.02,123.8033
SE,66059518120.0,40.339,,-15.45,107.865681
AON,65399331929.0,16.674,1.035,-12.01,308.305
APD,65349295634.0,-1381.498,2.438,21.17,293.4875
VALE,64772709740.0,30.702,6.088,19.52,15.22
PCAR,64482338567.0,25.735,2.261,12.8,122.505
HON,64373685431.0,7.843,3.831,0.66,203.09
ALL,63912375442.0,4.802,1.705,23.2,252.8629
ECL.WD,63873098900.0,41.75047,,,225.5
IMO,63836656344.0,21.173,1.843,55.28,132.005
BSX,63679145372.0,17.323,,-53.92,43.94
AJG,62855012000.0,40.086,1.128,-4.37,245.39
TRGP,62767176312.0,27.667,1.546,61.0,292.5381
NBIS,62588415039.0,1475.18,,175.04,230.3
TDG,62451694328.0,29.323,,-15.04,1129.67
TRP,62450000000.0,23.975,4.068,15.78,62.3539
ARGX,62395336536.0,36.381,,18.64,996.945
URI,61979203272.0,23.495,0.756,23.78,994.94
CVE,61800649950.0,12.818,1.79,100.43,33.51
COR,61702055531.0,23.507,0.753,-3.7,323.345
NOK,61355831152.0,74.42,1.097,66.93,10.6833
OXY,61317756337.0,8.452,2.072,51.26,61.335
TFC,61282877721.0,10.495,4.241,5.09,50.1626
MET,61231379301.0,16.887,2.473,24.64,96.3684
OKE,60452451065.0,16.535,4.421,35.44,95.8994
GWW,60122468425.0,32.151,0.746,27.24,1276.515
RELX,59328948522.0,19.354,2.762,-13.66,33.96
COHR,59004255720.0,73.154,,63.24,301.08
TEL,58882647877.0,19.523,1.47,-9.63,203.3779
MPWR,58842845340.0,73.336,0.587,32.57,1198.0364
BKR,58835792188.0,18.97,1.441,31.56,59.27
CRH,58202415445.0,15.164,1.73,-29.11,87.487
TER,57970368396.0,50.372,0.133,91.79,370.81
NUE,57789772191.0,20.034,0.87,57.08,254.67
LNG,57766571322.0,19.807,0.822,44.91,279.695
TAK,57364783133.0,-335.301,3.405,18.35,18.155
FANG,57320985059.0,39.068,2.115,38.49,204.705
D,57204367723.0,22.563,4.071,14.46,65.05
AFL,57148122539.0,11.755,2.147,4.99,113.996
CTVA,57011898200.0,56.523,0.854,28.33,85.4598
NXPI,56610857063.0,19.023,1.817,4.32,224.5
MT,56590829435.0,31.206,0.835,65.7,75.0459
O,56545989652.0,44.606,5.32,9.74,59.7677
FIX,56413341897.0,39.266,0.186,71.99,1601.22
KEYS,56071809213.0,44.489,,62.09,329.32
UMC,55663030911.0,21.372,1.393,186.17,22.1901
FAST,55538882533.0,41.08,1.968,22.59,48.395
F,55307951901.0,-7.475,4.461,9.38,13.87
CAH,55268133123.0,32.231,0.864,16.46,237.6121
SRE,55182650368.0,24.152,3.061,-3.06,84.37377
NKE,54741843890.0,17.618,4.386,-40.55,36.905
DVN,54301500000.0,16.56,1.523,36.43,49.3131
PBR.A,54227774188.0,2.123,0.0,71.78,19.36
SQ,53899025440.0,51.173,,,86.96
AME,53828247479.0,34.151,0.551,14.71,234.685
MRNA,53427742845.0,-16.958,,353.8,133.8252
STT,52921295027.0,15.31,1.773,52.07,192.61
AU,52771964171.0,13.859,4.162,26.71,104.43
GRMN,52499281613.0,27.965,1.376,35.31,272.24
NDAQ,52032408673.0,26.444,1.211,-3.52,93.0196
PSA,51911850999.0,25.375,4.071,16.14,295.4206
DAL,51320901261.0,12.992,0.984,13.33,78.03
VST,51006480584.0,22.985,0.607,-5.54,151.97
FNV,50733526982.0,34.33,0.783,27.59,262.9887
ALAB,50579061616.0,136.748,,75.25,291.705
VMRK,50293892144.0,57.455,2.094,1.95,64.89
CRWV,50129161756.0,-25.975,,26.92,90.89
MSTR,50114781780.0,-1.645,,-14.24,130.151
EW,49968116000.0,49.724,,1.69,86.6516
ETR,49668256647.0,27.262,2.335,17.24,106.4
AMP,49258136243.0,12.477,1.226,14.84,557.65
FITB,49149042506.0,20.95,0.738,17.65,54.1521
HONA,49059527539.0,25.164,,-29.96,154.895
HUM,48608508678.0,38.005,0.886,59.22,405.07
CBS.A,48378301990.48,5.566,,,43.12
BDX,48310522848.0,51.273,2.396,18.56,177.36
CIEN,48261695313.0,73.662,,45.52,340.108
DEO,48172486240.0,27.741,3.762,1.27,86.52
XYZ,47871345600.0,134.023,,22.42,79.6903
WAB,47389628357.0,37.344,0.423,31.9,280.44
NTRA,47254062530.0,-245.672,,43.1,328.305
XEL,47253585249.0,21.157,2.97,3.96,75.636
EBAY,47087675000.0,21.115,1.184,22.6,105.815
AZO,47028531775.0,18.977,,-15.06,2884.37
ABEV,46995957938.0,14.776,4.385,23.1,3.0387
CARR,46829906488.0,38.395,1.648,8.75,56.81
ROK,46682642417.0,38.875,1.304,9.09,420.454
VTR,46390868708.0,176.591,2.121,18.32,90.4578
LHX,46369301530.0,24.74,1.981,-14.13,248.9839
TEAM,46169988468.0,-857.309,,12.49,182.395
CCEP,45770628582.0,19.706,2.346,15.61,103.72
COIN,45620042356.0,-46.157,,-23.54,172.905
PYPL,45476300062.0,9.276,1.127,-8.14,53.16
CMG,45434833290.0,32.01,,-2.96,35.9064
CBRS,45429371560.0,-88.559,,3.37,191.24
WDS,45322227409.0,14.744,4.63,60.74,23.818495
