date,fund,cusip,ticker,company,asset_class,shares,market_value,weight
07/02/2026,ARKF,82509L107,SHOP,SHOPIFY INC - CLASS A,equity,607914.0,73940579.82,9.87
07/02/2026,ARKF,770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,450884.0,48988546.6,6.54
07/02/2026,ARKF,852234103,XYZ,BLOCK INC,equity,570820.0,44027346.6,5.87
07/02/2026,ARKF,MM005473T,,ARK BITCOIN ETF HOLDCO (ARKF),bitcoin_holdco,2096992.0,41700782.91,5.56
07/02/2026,ARKF,19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,254104.0,40463520.96,5.4
07/02/2026,ARKF,888787108,TOST,TOAST INC-CLASS A,equity,1157381.0,33228408.51,4.43
07/02/2026,ARKF,69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,250388.0,31481283.24,4.2
07/02/2026,ARKF,172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,497583.0,30825266.85,4.11
07/02/2026,ARKF,007903107,AMD,ADVANCED MICRO DEVICES,equity,53721.0,29056614.48,3.88
07/02/2026,ARKF,023135106,AMZN,AMAZON.COM INC,equity,116647.0,28193579.9,3.76
07/02/2026,ARKF,771049103,RBLX,ROBLOX CORP -CLASS A,equity,436872.0,25316732.4,3.38
07/02/2026,ARKF,58733R102,MELI,MERCADOLIBRE INC,equity,13500.0,23519565.0,3.14
07/02/2026,ARKF,PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,31991.0,21999791.62,2.94
07/02/2026,ARKF,83406F102,SOFI,SOFI TECHNOLOGIES INC,equity,1182343.0,21802404.92,2.91
07/02/2026,ARKF,30303M102,META,META PLATFORMS INC-CLASS A,equity,35517.0,21768724.47,2.9
07/02/2026,ARKF,G16910120,BLSH,BULLISH,equity,769278.0,19408883.94,2.59
07/02/2026,ARKF,67066G104,NVDA,NVIDIA CORP,equity,86893.0,17168318.94,2.29
07/02/2026,ARKF,22788C105,CRWD,CROWDSTRIKE HOLDINGS INC - A,equity,88660.0,17127782.1,2.29
07/02/2026,ARKF,77543R102,ROKU,ROKU INC,equity,120560.0,16939885.6,2.26
07/02/2026,ARKF,81141R100,SE,SEA LTD-ADR,equity,158410.0,16210095.3,2.16
07/02/2026,ARKF,26142V105,DKNG UW,DRAFTKINGS INC-CL A,equity,580598.0,14962010.46,2.0
07/02/2026,ARKF,G5279N105,KLAR,KLARNA GROUP PLC,equity,712201.0,14557388.44,1.94
07/02/2026,ARKF,BZ1HM42,ADYEN,ADYEN NV,equity,14854.0,14355863.54,1.92
07/02/2026,ARKF,G6683N103,NU UN,NU HOLDINGS LTD/CAYMAN ISL-A,equity,1071519.0,14347639.41,1.91
07/02/2026,ARKF,009066101,ABNB,AIRBNB INC-CLASS A,equity,85562.0,12604138.22,1.68
07/02/2026,ARKF,L8681T102,SPOT,SPOTIFY TECHNOLOGY SA,equity,25914.0,12243846.72,1.63
07/02/2026,ARKF,25809K105,DASH,DOORDASH INC - A,equity,58717.0,11089879.79,1.48
07/02/2026,ARKF,09175A206,BMNR,BITMINE IMMERSION TECHNOLOGI,equity,763586.0,10804741.9,1.44
07/02/2026,ARKF,G32089107,ETOR,ETORO GROUP LTD-A,equity,257679.0,10410231.6,1.39
07/02/2026,ARKF,36118L106,FUTU,FUTU HOLDINGS LTD-ADR,equity,100658.0,10057747.36,1.34
07/02/2026,ARKF,98954M200,Z,ZILLOW GROUP INC - C,equity,152575.0,5038026.5,0.67
07/02/2026,ARKF,BJY21K1,KSPI,JSC KASPI.KZ ADR,equity,41525.0,3668318.5,0.49
07/02/2026,ARKF,70450C101,PAYP,PAYPAY CORP,equity,244985.0,3579230.85,0.48
07/02/2026,ARKF,BQ84B35,ETHQ/U,3IQ ETHER STAKING ETF,equity,517142.0,3123537.68,0.42
07/02/2026,ARKF,BTRDQ40,SOLQ/U,3IQ SOLANA STAKING ETF,equity,367283.0,2200025.17,0.29
07/02/2026,ARKF,432705309,CNTN,CANTON STRATEGIC HOLDINGS IN,equity,405515.0,1192214.1,0.16
07/02/2026,ARKF,X9USDGSFT,,GOLDMAN FS TRSY OBLIG INST 468,cash,946377.0,946376.55,0.13
07/02/2026,ARKF,G13311132,,BRERA HOLDINGS PLC-CL B,equity,91322.0,499531.34,0.07
07/02/2026,ARKF,01609W102,BABA,ALIBABA GROUP HOLDING-SP ADR,equity,4475.0,438505.25,0.06
07/02/2026,ARKF,BREADUMMY,,BRERA HOLDINGS PLC WTS,equity,78805.0,230899.53,0.03
07/02/2026,ARKG,90184D100,TWST,TWIST BIOSCIENCE CORP,equity,1425356.0,145742651.0,8.71
07/02/2026,ARKG,88023B103,TEM,TEMPUS AI INC-CL A,equity,2177399.0,134127778.4,8.01
07/02/2026,ARKG,88025U109,TXG,10X GENOMICS INC-CLASS A,equity,3014396.0,117712163.8,7.03
07/02/2026,ARKG,H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,1986473.0,110487628.26,6.6
07/02/2026,ARKG,00091E109,ABSI,ABSCI CORP,equity,9888742.0,109863923.62,6.56
07/02/2026,ARKG,71535D106,PSNL,PERSONALIS INC,equity,7619788.0,105076876.52,6.28
07/02/2026,ARKG,40131M109,GH,GUARDANT HEALTH INC,equity,471441.0,80507979.57,4.81
07/02/2026,ARKG,07373V105,BEAM,BEAM THERAPEUTICS INC,equity,2088877.0,69935601.96,4.18
07/02/2026,ARKG,632307104,NTRA,NATERA INC,equity,249710.0,68987381.7,4.12
07/02/2026,ARKG,452327109,ILMN,ILLUMINA INC,equity,373360.0,68657170.4,4.1
07/02/2026,ARKG,92337F107,VCYT,VERACYTE INC,equity,911932.0,54579130.2,3.26
07/02/2026,ARKG,14167L103,CDNA,CAREDX INC,equity,1784577.0,52198877.25,3.12
07/02/2026,ARKG,45826J105,NTLA,INTELLIA THERAPEUTICS INC,equity,2845697.0,49059816.28,2.93
07/02/2026,ARKG,75629V104,RXRX,RECURSION PHARMACEUTICALS-A,equity,13099373.0,48074698.91,2.87
07/02/2026,ARKG,532457108,LLY,ELI LILLY & CO,equity,38748.0,46177541.52,2.76
07/02/2026,ARKG,00650F109,ADPT,ADAPTIVE BIOTECHNOLOGIES,equity,1936595.0,43321630.15,2.59
07/02/2026,ARKG,20451W101,CMPS,COMPASS PATHWAYS PLC,equity,3151707.0,41886186.03,2.5
07/02/2026,ARKG,67080M103,NRIX,NURIX THERAPEUTICS INC,equity,1638290.0,39171513.9,2.34
07/02/2026,ARKG,124155102,BFLY,BUTTERFLY NETWORK INC,equity,4646678.0,36848156.54,2.2
07/02/2026,ARKG,80810D103,SDGR,SCHRODINGER INC,equity,1989428.0,32606724.92,1.95
07/02/2026,ARKG,81663L200,WGS,GENEDX HOLDINGS CORP,equity,435352.0,31219091.92,1.87
07/02/2026,ARKG,462222100,IONS,IONIS PHARMACEUTICALS INC,equity,273962.0,21695050.78,1.3
07/02/2026,ARKG,157085101,CERS,CERUS CORP,equity,7035176.0,21105528.0,1.26
07/02/2026,ARKG,04650F101,ATAI UQ,ATAIBECKLEY INC,equity,4165345.0,20326883.6,1.21
07/02/2026,ARKG,010911105,ALMR,ALAMAR BIOSCIENCES INC,equity,730583.0,19090133.79,1.14
07/02/2026,ARKG,03969T109,ARCT UQ,ARCTURUS THERAPEUTICS HOLDIN,equity,2669807.0,18394970.23,1.1
07/02/2026,ARKG,74168J101,PRME,PRIME MEDICINE INC,equity,4681668.0,18211688.52,1.09
07/02/2026,ARKG,69404D108,PACB,PACIFIC BIOSCIENCES OF CALIF,equity,10353651.0,18015352.74,1.08
07/02/2026,ARKG,65443P102,MASS,908 DEVICES INC,equity,1855751.0,16479068.88,0.98
07/02/2026,ARKG,370920100,GENB,GENERATE BIOMEDICINES INC,equity,877278.0,14475087.0,0.86
07/02/2026,ARKG,09075V102,BNTX,BIONTECH SE-ADR,equity,120656.0,11332011.52,0.68
07/02/2026,ARKG,74765K105,QSI,QUANTUM-SI INC,equity,6584886.0,6085093.15,0.36
07/02/2026,ARKG,X9USDGSFT,,GOLDMAN FS TRSY OBLIG INST 468,cash,2434220.0,2434220.19,0.15
07/02/2026,ARKK,88160R101,TSLA,TESLA INC,equity,1610899.0,685115344.7,10.18
07/02/2026,ARKK,88023B103,TEM,TEMPUS AI INC-CL A,equity,6401674.0,394343118.4,5.86
07/02/2026,ARKK,H17182108,CRSP,CRISPR THERAPEUTICS AG,equity,5934167.0,330058368.54,4.9
07/02/2026,ARKK,770700102,HOOD,ROBINHOOD MARKETS INC - A,equity,2995997.0,325515074.05,4.84
07/02/2026,ARKK,007903107,AMD,ADVANCED MICRO DEVICES,equity,569866.0,308229122.08,4.58
07/02/2026,ARKK,82509L107,SHOP,SHOPIFY INC - CLASS A,equity,2434732.0,296136453.16,4.4
07/02/2026,ARKK,84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,1744786.0,274873586.44,4.08
07/02/2026,ARKK,19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,equity,1620808.0,258097465.92,3.83
07/02/2026,ARKK,90184D100,TWST,TWIST BIOSCIENCE CORP,equity,2442459.0,249741432.75,3.71
07/02/2026,ARKK,771049103,RBLX,ROBLOX CORP -CLASS A,equity,4035319.0,233846736.05,3.47
07/02/2026,ARKK,07373V105,BEAM,BEAM THERAPEUTICS INC,equity,6405746.0,214464376.08,3.19
07/02/2026,ARKK,88025U109,TXG,10X GENOMICS INC-CLASS A,equity,5193701.0,202814024.05,3.01
07/02/2026,ARKK,172573107,CRCL,CIRCLE INTERNET GROUP INC,equity,3158873.0,195692182.35,2.91
07/02/2026,ARKK,45826J105,NTLA,INTELLIA THERAPEUTICS INC,equity,11318890.0,195137663.6,2.9
07/02/2026,ARKK,69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,equity,1483417.0,186510019.41,2.77
07/02/2026,ARKK,PPOPENAIC,,OPENAI GROUP PBC SERIES C,private,254476.0,174999811.56,2.6
07/02/2026,ARKK,023135106,AMZN,AMAZON.COM INC,equity,652144.0,157623204.8,2.34
07/02/2026,ARKK,21873S108,CRWV,COREWEAVE INC-CL A,equity,1604083.0,137445851.86,2.04
07/02/2026,ARKK,02079K107,GOOG,ALPHABET INC-CL C,equity,350146.0,125313751.94,1.86
07/02/2026,ARKK,852234103,XYZ,BLOCK INC,equity,1582530.0,122060538.9,1.81
07/02/2026,ARKK,15675D103,CBRS,CEREBRAS SYSTEMS INC - A,equity,527599.0,116741830.73,1.73
07/02/2026,ARKK,G16910120,BLSH,BULLISH,equity,4410144.0,111267933.12,1.65
07/02/2026,ARKK,67066G104,NVDA,NVIDIA CORP,equity,522134.0,103163235.72,1.53
07/02/2026,ARKK,452327109,ILMN,ILLUMINA INC,equity,555900.0,102224451.0,1.52
07/02/2026,ARKK,632307104,NTRA,NATERA INC,equity,362590.0,100172739.3,1.49
07/02/2026,ARKK,09175A206,BMNR,BITMINE IMMERSION TECHNOLOGI,equity,5797605.0,82036110.75,1.22
07/02/2026,ARKK,75629V104,RXRX,RECURSION PHARMACEUTICALS-A,equity,21083950.0,77378096.5,1.15
07/02/2026,ARKK,244199105,DE,DEERE & CO,equity,121478.0,76243237.14,1.13
07/02/2026,ARKK,03945R102,ACHR,ARCHER AVIATION INC-A,equity,14254051.0,70129930.92,1.04
07/02/2026,ARKK,11135F101,AVGO,BROADCOM INC,equity,187156.0,69124197.04,1.03
07/02/2026,ARKK,81663L200,WGS,GENEDX HOLDINGS CORP,equity,923647.0,66234726.37,0.98
07/02/2026,ARKK,92337F107,VCYT,VERACYTE INC,equity,1102880.0,66007368.0,0.98
07/02/2026,ARKK,880770102,TER,TERADYNE INC,equity,153768.0,65711217.12,0.98
07/02/2026,ARKK,50077B207,KTOS,KRATOS DEFENSE & SECURITY,equity,1208962.0,64123344.48,0.95
07/02/2026,ARKK,30303M102,META,META PLATFORMS INC-CLASS A,equity,103552.0,63468056.32,0.94
07/02/2026,ARKK,874039100,TSM,TAIWAN SEMICONDUCTOR-SP ADR,equity,140879.0,62582678.17,0.93
07/02/2026,ARKK,98386P102,XE,X-ENERGY INC,equity,2802526.0,52014882.56,0.77
07/02/2026,ARKK,05605H100,BWXT,BWX TECHNOLOGIES INC,equity,269680.0,51576300.0,0.77
07/02/2026,ARKK,83406F102,SOFI,SOFI TECHNOLOGIES INC,equity,2296045.0,42339069.8,0.63
07/02/2026,ARKK,833445109,SNOW,SNOWFLAKE INC,equity,159914.0,41767937.66,0.62
07/02/2026,ARKK,532457108,LLY,ELI LILLY & CO,equity,29928.0,35666394.72,0.53
07/02/2026,ARKK,02079K305,GOOGL,ALPHABET INC-CL A,equity,90508.0,32692394.68,0.49
07/02/2026,ARKK,316841105,FIG,FIGMA INC-CL A,equity,1597768.0,31140498.32,0.46
07/02/2026,ARKK,157085101,CERS,CERUS CORP,equity,8729770.0,26189310.0,0.39
07/02/2026,ARKK,69404D108,PACB,PACIFIC BIOSCIENCES OF CALIF,equity,13498842.0,23487985.08,0.35
07/02/2026,ARKK,77543R102,ROKU,ROKU INC,equity,129345.0,18174265.95,0.27
07/02/2026,ARKK,X9USDGSFT,,GOLDMAN FS TRSY OBLIG INST 468,cash,6720994.0,6720993.68,0.1
07/02/2026,ARKK,G13311132,,BRERA HOLDINGS PLC-CL B,equity,364423.0,1993393.81,0.03
07/02/2026,ARKK,BREADUMMY,,BRERA HOLDINGS PLC WTS,equity,431626.0,1264663.3,0.02
07/02/2026,ARKK,01609W102,BABA,ALIBABA GROUP HOLDING-SP ADR,equity,7724.0,756874.76,0.01
07/02/2026,ARKQ,88160R101,TSLA,TESLA INC,equity,552156.0,234831946.8,10.86
07/02/2026,ARKQ,007903107,AMD,ADVANCED MICRO DEVICES,equity,277328.0,150001168.64,6.93
07/02/2026,ARKQ,880770102,TER,TERADYNE INC,equity,344687.0,147298542.58,6.81
07/02/2026,ARKQ,84615Q103,SPCX,SPACE EXPLORATION TECHN-CL A,equity,779274.0,122766825.96,5.67
