rank,symbol,company,market_cap,sector,industry,country,ipo_year,price,pct_change,alt_symbols
81,MRVL,Marvell Technology Inc.,190111375105.0,Technology,Semiconductors,United States,2000,217.08,2.247,
82,TMUS,T-Mobile US Inc.,190002322811.0,Telecommunications,Telecommunications Equipment,United States,,177.13,-0.812,
83,PEP,PepsiCo Inc.,189310459095.0,Consumer Staples,Beverages (Production/Distribution),United States,,138.7,0.21,
84,SCHW,The Charles Schwab Corporation,189085566969.0,Finance,Investment Bankers/Brokers/Service,United States,,109.34,1.523,
85,ADI,Analog Devices Inc.,187250870787.0,Technology,Semiconductors,United States,,384.43,-0.226,
86,BA,The Boeing Company,182733548624.0,Industrials,Aerospace,United States,,231.2,-0.875,
87,BLK,BlackRock Inc.,179789271466.0,Finance,Investment Bankers/Brokers/Service,United States,1999,1160.91,1.051,
88,NEE,NextEra Energy Inc.,178935210768.0,Utilities,Electric Utilities: Central,United States,,85.78,0.047,
89,ETN,Eaton Corporation PLC,178648464000.0,Technology,Industrial Machinery/Components,Ireland,,459.96,0.146,
90,DIS,The Walt Disney Company,178228622024.0,Consumer Discretionary,Services-Misc. Amusement & Recreation,United States,,103.22,-0.299,
91,UNP,Union Pacific Corporation,174497796028.0,Industrials,Railroads,United States,,293.73,0.294,
92,QCOM,QUALCOMM Incorporated,171261645497.0,Technology,Radio And Television Broadcasting And Communications Equipment,United States,1991,163.07,0.24,
93,TJX,The TJX Companies Inc.,168588945504.0,Consumer Discretionary,Clothing/Shoe/Accessory Stores,United States,,152.61,-2.01,
94,GILD,Gilead Sciences Inc.,168472706910.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States,1992,135.87,0.074,
95,UBS,UBS Group AG Registered,167368263518.0,Finance,Major Banks,Switzerland,2014,53.93,0.447,
96,DE,Deere & Company,167299117892.0,Industrials,Industrial Machinery/Components,United States,,619.77,0.295,
97,T,AT&T Inc.,166170352013.0,Telecommunications,Telecommunications Equipment,United States,,24.25,-1.02,
98,WELL,Welltower Inc.,165965939867.0,Real Estate,Real Estate Investment Trusts,United States,,230.27,1.885,
99,BBVA,Banco Bilbao Vizcaya Argentaria S.A.,162705607950.0,Finance,Commercial Banks,Spain,,28.5,0.0,
100,SCCO,Southern Copper Corporation,162602906182.0,Basic Materials,Metal Mining,United States,,194.89,0.211,
101,BKNG,Booking Holdings Inc.,159488024930.0,Consumer Discretionary,Transportation Services,United States,,212.26,-0.287,
102,CRM,Salesforce Inc.,158329080000.0,Technology,Computer Software: Prepackaged Software,United States,2004,193.32,-2.102,
103,WDC,Western Digital Corporation,156520155687.0,Technology,Electronic Components,United States,,454.1,3.692,
104,BUD,Anheuser-Busch Inbev SA,156173216546.0,Consumer Staples,Beverages (Production/Distribution),Belgium,,79.19,-1.762,
105,UBER,Uber Technologies Inc.,153927330719.0,Consumer Discretionary,Business Services,United States,2019,75.36,-4.049,
106,COP,ConocoPhillips,152930261077.0,Energy,Integrated oil Companies,United States,,127.3,1.096,
107,PFE,Pfizer Inc.,149958412127.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States,,26.31,-1.165,
108,DHR,Danaher Corporation,144667500053.0,Industrials,Industrial Machinery/Components,United States,,205.79,-0.795,
109,GLW,Corning Incorporated,144230862143.0,Industrials,Telecommunications Equipment,United States,,167.44,5.182,
110,ISRG,Intuitive Surgical Inc.,141759878308.0,Health Care,Industrial Specialties,United States,2000,401.27,0.01,
111,LMT,Lockheed Martin Corporation,140025365660.0,Industrials,Military/Government/Technical,United States,,606.72,1.497,
112,SONY,Sony Group Corporation,139066451849.0,Consumer Staples,Consumer Electronics/Appliances,Japan,,23.54,-0.296,
113,COF,Capital One Financial Corporation,136463566920.0,Finance,Major Banks,United States,1994,222.44,1.501,
114,MNST,Monster Beverage Corporation,135115935298.0,Consumer Staples,Beverages (Production/Distribution),United States,,45.98,0.988,
115,UL,Unilever PLC,134870867845.0,Consumer Discretionary,Package Goods/Cosmetics,United Kingdom,2025,61.72,-1.042,
116,PH,Parker-Hannifin Corporation,134851914763.0,Industrials,Metal Fabrications,United States,,1069.52,0.772,
117,MFG,Mizuho Financial Group Inc. Sponosred,134576316506.0,Finance,Major Banks,Japan,,10.81,3.544,
118,PLD,Prologis Inc.,133422735480.0,Real Estate,Real Estate Investment Trusts,United States,,140.73,0.882,
119,VRTX,Vertex Pharmaceuticals Incorporated,133252011575.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States,1991,525.73,-0.74,
120,SYK,Stryker Corporation,133180397302.0,Health Care,Medical/Dental Instruments,United States,,347.21,-0.27,
121,CB,Chubb Limited,132456665590.0,Finance,Property-Casualty Insurers,Switzerland,,343.33,-1.078,
122,BMY,Bristol-Myers Squibb Company,130120923587.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States,,63.7,0.141,
123,BMO,Bank Of Montreal,129402148429.0,Finance,Commercial Banks,Canada,,183.57,1.325,
124,NOW,ServiceNow Inc.,129187960000.0,Technology,Computer Software: Prepackaged Software,United States,2012,124.94,-2.039,
125,RIO,Rio Tinto Plc,127136225472.0,Basic Materials,Metal Mining,Australia,2002,101.22,0.228,
126,PDD,PDD Holdings Inc.,126732103994.0,Consumer Discretionary,Business Services,China,2018,89.035,-1.619,
127,NEM,Newmont Corporation,124167097215.0,Basic Materials,Precious Metals,United States,,117.84,0.537,
128,SBUX,Starbucks Corporation,123678600000.0,Consumer Discretionary,Restaurants,United States,1992,108.49,1.716,
129,CVS,CVS Health Corporation,121144073352.0,Consumer Staples,Retail-Drug Stores and Proprietary Stores,United States,,94.72,1.305,
130,LOW,Lowe's Companies Inc.,121095899645.0,Consumer Discretionary,RETAIL: Building Materials,United States,,215.97,-2.386,
131,BTI,British American Tobacco  Industries p.l.c.,121053880400.0,Health Care,Medicinal Chemicals and Botanical Products,United Kingdom,1998,55.84,-1.707,
132,SPGI,S&P Global Inc.,120897480000.0,Finance,Finance: Consumer Services,United States,,410.1,0.345,
133,PGR,The Progressive Corporation,120559063945.0,Finance,Property-Casualty Insurers,United States,,207.37,-2.345,
134,ACN,Accenture plc,120245289229.0,Consumer Discretionary,Business Services,Ireland,2001,180.14,0.178,
135,SMFG,Sumitomo Mitsui Financial Group Inc,118823164166.0,Finance,Commercial Banks,Japan,,26.05,3.579,
136,HDB,HDFC Bank Limited,118580247353.0,Finance,Commercial Banks,India,2001,23.11,-0.773,
137,FTNT,Fortinet Inc.,118010503949.0,Technology,Computer peripheral equipment,United States,2009,160.84,-0.649,
138,MDT,Medtronic plc.,116176901444.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,United States,,90.76,0.088,
139,SNOW,Snowflake Inc.,115161316000.0,Technology,Computer Software: Prepackaged Software,United States,2020,332.26,-0.563,
140,PBR,Petroleo Brasileiro S.A. Petrobras,114451946927.0,Energy,Oil & Gas Production,Brazil,,17.76,-0.948,
141,BP,BP p.l.c.,112387752115.0,Energy,Integrated oil Companies,United Kingdom,,42.93,-0.533,
142,ENB,Enbridge Inc,112324275925.0,Energy,Natural Gas Distribution,Canada,,51.44,-0.252,
143,HWM,Howmet Aerospace Inc.,112314438000.0,Industrials,Metal Fabrications,United States,,281.63,0.103,
144,VRT,Vertiv Holdings LLC,111015189566.0,Technology,Industrial Machinery/Components,United States,2018,288.36,2.324,
145,NET,Cloudflare Inc.,110901027237.0,Technology,Computer Software: Prepackaged Software,United States,2019,311.45,1.459,
146,BNS,Bank Nova Scotia Halifax Pfd 3,110815702229.0,Finance,Major Banks,Canada,,90.33,1.654,
147,CM,Canadian Imperial Bank of Commerce,110600224453.0,Finance,Commercial Banks,Canada,,120.9,1.631,
148,BNY,The Bank of New York Mellon Corporation,110548679856.0,Finance,Major Banks,United States,,162.93,1.628,
149,BX,Blackstone Inc.,109899022941.0,Finance,Investment Managers,United States,2007,146.41,-0.516,
150,BN,Brookfield Corporation Class A Limited Voting,109524002529.0,Real Estate,Building operators,Canada,1925,44.69,-0.246,
151,ABNB,Airbnb Inc.,107838307400.0,Consumer Discretionary,Diversified Commercial Services,United States,2020,180.095,-2.641,
152,MO,Altria Group Inc.,107498113956.0,Health Care,Medicinal Chemicals and Botanical Products,United States,,64.38,-1.0,
153,ADP,Automatic Data Processing Inc.,106994772956.0,Technology,EDP Services,United States,,269.33,-0.649,
154,IBN,ICICI Bank Limited,106828879544.0,Finance,Commercial Banks,India,,29.84,-0.1,
155,GD,General Dynamics Corporation,106656351841.0,Industrials,Marine Transportation,United States,,394.21,0.592,
156,SNY,Sanofi,106602316732.0,Health Care,Biotechnology: Pharmaceutical Preparations,France,,43.71,0.344,
157,SO,The Southern Company,106431581614.0,Utilities,Electric Utilities: Central,United States,,92.52,0.653,
158,EQIX,Equinix Inc.,105496806521.0,Real Estate,Real Estate Investment Trusts,United States,2000,1069.17,3.562,
159,TT,Trane Technologies plc,105292091353.0,Industrials,Auto Parts:O.E.M.,Ireland,,478.55,-1.118,
160,ING,ING Group N.V.,103355806070.0,Finance,Commercial Banks,Netherlands,1997,35.61,0.736,
161,ADBE,Adobe Inc.,102853125000.0,Technology,Computer Software: Prepackaged Software,United States,1986,258.75,-1.881,
162,EQNR,Equinor ASA,102486109520.0,Energy,Integrated oil Companies,Norway,,40.99,0.147,
163,MCK,McKesson Corporation,102451449679.0,Health Care,Other Pharmaceuticals,United States,,878.73,-2.555,
164,PNC,The PNC Financial Services Group Inc.,101914149172.0,Finance,Major Banks,United States,,255.46,0.484,
165,GSK,GSK plc,101863941116.0,Health Care,Biotechnology: Pharmaceutical Preparations,United Kingdom,2022,50.3,-1.179,
166,APP,Applovin Corporation,101653587760.0,Technology,Computer Software: Programming Data Processing,United States,2021,303.76,-4.682,
167,USB,U.S. Bancorp,101304505019.0,Finance,Major Banks,United States,,65.02,1.135,
168,SPOT,Spotify Technology S.A.,100775605219.0,Consumer Discretionary,Broadcasting,Luxembourg,2018,489.6,-2.275,
169,PWR,Quanta Services Inc.,99892536758.0,Industrials,Engineering & Construction,United States,,678.02,1.109,
170,KKR,KKR & Co. Inc.,99547788151.0,Finance,Investment Managers,United States,,110.9,-0.063,
171,FCX,Freeport-McMoRan Inc.,99401132942.0,Basic Materials,Metal Mining,United States,,69.22,0.508,
172,CEG,Constellation Energy Corporation,98738380380.0,Utilities,Electric Utilities: Central,United States,,278.68,0.115,
173,CNQ,Canadian Natural Resources Limited,98414718800.0,Energy,Oil & Gas Production,Canada,,47.57,-0.084,
174,MPC,Marathon Petroleum Corporation,97797223715.0,Energy,Integrated oil Companies,United States,,348.25,3.516,
175,BCS,Barclays PLC,97481705929.0,Finance,Commercial Banks,United Kingdom,,28.04,0.718,
176,DUK,Duke Energy Corporation,96285423814.0,Utilities,Power Generation,United States,,123.49,0.244,
177,RACE,Ferrari N.V.,95264553690.0,Industrials,Auto Manufacturing,Italy,2015,407.21,-0.743,
178,VLO,Valero Energy Corporation,95076526897.0,Energy,Integrated oil Companies,United States,,330.21,1.942,
179,MMM,3M Company,94779465796.0,Health Care,Medical/Dental Instruments,United States,,183.78,0.355,
180,CME,CME Group Inc.,94270895381.0,Finance,Investment Bankers/Brokers/Service,United States,2002,262.17,1.099,
181,AEM,Agnico Eagle Mines Limited,93990145610.0,Basic Materials,Precious Metals,Canada,,185.18,1.887,
182,CSX,CSX Corporation,92771943843.0,Industrials,Railroads,United States,,50.08,0.28,
183,MELI,MercadoLibre Inc.,92688456129.0,Consumer Discretionary,Business Services,Argentina,2007,1828.29,-5.758,
184,JCI,Johnson Controls International plc,92551239201.0,Industrials,Industrial Machinery/Components,Switzerland,,152.79,-1.273,
185,MAR,Marriott International,92462510399.0,Consumer Discretionary,Hotels/Resorts,United States,,354.58,1.456,
186,DASH,DoorDash Inc.,92071478633.0,Consumer Discretionary,Business Services,United States,,212.49,0.231,
187,LYG,Lloyds Banking Group Plc,91742076128.0,Finance,Commercial Banks,United Kingdom,,6.19,1.475,
188,INTU,Intuit Inc.,91555569270.0,Technology,Computer Software: Prepackaged Software,United States,1993,334.71,-0.514,
189,EMR,Emerson Electric Company,91367640000.0,Technology,Consumer Electronics/Appliances,United States,,163.8,-0.353,
190,WM,Waste Management Inc.,90463540443.0,Utilities,Environmental Services,United States,,226.32,-0.234,
191,CMCSA,Comcast Corporation,90383773514.0,Telecommunications,Cable & Other Pay Television Services,United States,,25.47,-0.702,
192,WMB,The Williams Companies Inc.,90147442686.0,Utilities,Natural Gas Distribution,United States,,73.7,1.922,
193,MRSH,Marsh,90126120074.0,Finance,Specialty Insurers,United States,,188.86,-1.25,
194,PSX,Phillips 66,90011138231.0,Energy,Integrated oil Companies,United States,,225.58,0.544,
195,HCA,HCA Healthcare Inc.,89759356885.0,Health Care,Hospital/Nursing Management,United States,2011,414.59,0.766,
196,CDNS,Cadence Design Systems Inc.,88987740090.0,Technology,Computer Software: Prepackaged Software,United States,,323.13,-1.343,
197,UPS,United Parcel Service Inc.,88404714186.0,Industrials,Trucking Freight/Courier Services,United States,1999,103.91,-0.498,
198,CMI,Cummins Inc.,87809293033.0,Industrials,Industrial Machinery/Components,United States,,637.85,0.774,
199,ASX,ASE Technology Holding Co. Ltd.,87472584510.0,Technology,Semiconductors,Taiwan,2018,39.28,1.63,
200,SHW,The Sherwin-Williams Company,87441485990.0,Consumer Discretionary,RETAIL: Building Materials,United States,,360.2,-1.158,
201,BAM,Brookfield Asset Management Inc Class A Limited Voting,87049417481.0,Real Estate,Building operators,,2022,54.5,-1.553,
202,E,ENI S.p.A.,86724846542.0,Energy,Oil & Gas Production,Italy,,55.12,-0.667,
203,ELV,Elevance Health Inc.,86561208411.0,Health Care,Medical Specialities,United States,,399.14,2.247,
204,DDOG,Datadog Inc.,86504764032.0,Technology,Computer Software: Prepackaged Software,United States,2019,240.91,-2.379,
205,HOOD,Robinhood Markets Inc.,85331898530.0,Finance,Investment Bankers/Brokers/Service,United States,2021,94.91,0.562,
206,ICE,Intercontinental Exchange Inc.,84955827718.0,Finance,Investment Bankers/Brokers/Service,United States,2005,151.33,0.053,
207,ITW,Illinois Tool Works Inc.,83306848000.0,Industrials,Industrial Machinery/Components,United States,,292.51,-0.218,
208,MCO,Moody's Corporation,82761888000.0,Finance,Finance: Consumer Services,United States,,477.84,0.285,
209,CP,Canadian Pacific Kansas City Limited,82703940613.0,Industrials,Railroads,Canada,,92.69,0.838,
210,RCL,Royal Caribbean Cruises Ltd.,82375241872.0,Consumer Discretionary,Marine Transportation,United States,1993,308.0,0.277,
211,REGN,Regeneron Pharmaceuticals Inc.,82157050874.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States,1991,797.99,0.124,
212,NOC,Northrop Grumman Corporation,82015826170.0,Industrials,Industrial Machinery/Components,United States,,577.32,0.283,
213,EPD,Enterprise Products Partners L.P.,81887374248.0,Utilities,Natural Gas Distribution,United States,,37.92,0.158,
214,APO,Apollo Global Management Inc.,81855187269.0,Finance,Investment Managers,United States,,138.61,-1.19,
215,CTAS,Cintas Corporation,81438507359.0,Industrials,Garments and Clothing,United States,1983,203.51,-0.862,
216,NGG,National Grid Transco PLC National Grid PLC,80059488264.0,Utilities,Natural Gas Distribution,United Kingdom,,80.68,0.511,
217,CVNA,Carvana Co.,79761614050.0,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,United States,2017,72.48,0.667,
218,ROST,Ross Stores Inc.,79633902117.0,Consumer Discretionary,Clothing/Shoe/Accessory Stores,United States,1985,248.25,-1.414,
219,AMT,American Tower Corporation,79413570981.0,Real Estate,Real Estate Investment Trusts,United States,,170.43,0.519,
220,MDLZ,Mondelez International Inc.,79360834984.0,Consumer Staples,Packaged Foods,United States,,62.18,0.647,
221,NWG,NatWest Group plc,79226412130.0,Finance,Commercial Banks,United Kingdom,2022,19.26,1.102,
222,NTES,NetEase Inc.,79198079112.0,Technology,Computer Software: Prepackaged Software,China,,124.11,-2.956,
223,SNPS,Synopsys Inc.,78950755284.0,Technology,Computer Software: Prepackaged Software,United States,1992,412.32,0.343,
224,SE,Sea Limited,78465392113.0,Consumer Discretionary,Other Consumer Services,United States,2017,128.11,-2.585,
225,SLB,SLB Limited,78080775383.0,Energy,Oilfield Services/Equipment,France,,52.61,-1.993,
226,ECL,Ecolab Inc.,78051892933.0,Consumer Discretionary,Package Goods/Cosmetics,United States,,278.43,-2.178,
227,HPE,Hewlett Packard Enterprise Company,77849925000.0,Technology,Retail: Computer Software & Peripheral Equipment,United States,2015,58.79,8.11,
228,MSI,Motorola Solutions Inc.,77739051975.0,Technology,Radio And Television Broadcasting And Communications Equipment,United States,,469.74,0.617,
229,FDX,FedEx Corporation,77310684220.0,Consumer Discretionary,Air Freight/Delivery Services,United States,,326.77,1.346,
230,TRV,The Travelers Companies Inc.,77206130144.0,Finance,Property-Casualty Insurers,United States,,370.16,-1.451,
231,CNI,Canadian National Railway Company,76309912000.0,Industrials,Railroads,Canada,,126.32,0.032,
232,GM,General Motors Company,76127695697.0,Industrials,Auto Manufacturing,United States,2010,86.76,-2.899,
233,NSC,Norfolk Southern Corporation,75335894388.0,Industrials,Railroads,United States,,335.41,0.242,
234,EOG,EOG Resources Inc.,75081106253.0,Energy,Oil & Gas Production,United States,,143.14,-0.181,
235,AON,Aon plc,74744517924.0,Finance,Specialty Insurers,United States,,352.36,-1.15,
236,SU,Suncor Energy  Inc.,74715939615.0,Energy,Integrated oil Companies,Canada,,63.88,0.948,
237,HON,Honeywell International Inc.,74588661953.0,Industrials,Aerospace,United States,,235.34,2.268,
238,BSX,Boston Scientific Corporation,74519382227.0,Health Care,Medical/Dental Instruments,United States,,51.42,0.449,
239,ORLY,O'Reilly Automotive Inc.,74464840904.0,Consumer Discretionary,Auto & Home Supply Stores,United States,1993,92.05,-0.562,
240,CL,Colgate-Palmolive Company,73594995573.0,Consumer Discretionary,Package Goods/Cosmetics,United States,,92.32,0.011,
241,CI,The Cigna Group,73302953221.0,Health Care,Medical Specialities,United States,,277.41,1.293,
242,MFC,Manulife Financial Corporation,73064026703.0,Finance,Life Insurance,Canada,,43.78,-0.091,
243,DLR,Digital Realty Trust Inc.,72919328843.0,Real Estate,Real Estate Investment Trusts,United States,2004,197.06,3.276,
244,HLT,Hilton Worldwide Holdings Inc.,72590185422.0,Consumer Discretionary,Hotels/Resorts,United States,2016,322.53,2.501,
245,LITE,Lumentum Holdings Inc.,72546166000.0,Telecommunications,Telecommunications Equipment,United States,,932.47,13.634,
246,DB,Deutsche Bank AG,72452714000.0,Finance,Major Banks,Germany,,38.51,0.732,
247,SPG,Simon Property Group Inc.,71362522148.0,Real Estate,Real Estate Investment Trusts,United States,,220.56,0.469,
248,KMI,Kinder Morgan Inc.,70656430284.0,Utilities,Natural Gas Distribution,United States,2011,31.73,0.794,
249,URI,United Rentals Inc.,70290442828.0,Consumer Discretionary,Diversified Commercial Services,United States,1997,1129.3,-1.25,
