symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
CPNG,NYSE,22266T109,Coupang Inc,17763525,521892000.00,1,Duquesne Family Office,Duquesne Family Office=17763525
GOOGL,NASDAQ,02079K305,Alphabet Inc,94414,273521000.00,1,Duquesne Family Office,Duquesne Family Office=94414
MSFT,NASDAQ,594918104,Microsoft Corp,800490,269221000.00,1,Duquesne Family Office,Duquesne Family Office=800490
FCX,NYSE,35671D857,Freeport-Mcmoran Inc,4836809,201840000.00,1,Duquesne Family Office,Duquesne Family Office=4836809
AMZN,NASDAQ,023135106,Amazon Com Inc,56882,189664000.00,1,Duquesne Family Office,Duquesne Family Office=56882
PANW,NASDAQ,697435105,Palo Alto Networks Inc,229500,127776000.00,1,Duquesne Family Office,Duquesne Family Office=229500
CVNA,NYSE,146869102,Carvana Co,522127,121024000.00,1,Duquesne Family Office,Duquesne Family Office=522127
BKNG,NASDAQ,09857L108,Booking Holdings Inc,42917,102968000.00,1,Duquesne Family Office,Duquesne Family Office=42917
CVX,NYSE,166764100,Chevron Corp New,824440,96748000.00,1,Duquesne Family Office,Duquesne Family Office=824440
TMUS,NASDAQ,872590104,T-Mobile Us Inc,796303,92355000.00,1,Duquesne Family Office,Duquesne Family Office=796303
ABNB,NASDAQ,009066101,Airbnb Inc,496861,82722000.00,1,Duquesne Family Office,Duquesne Family Office=496861
SNAP,NYSE,83304A106,Snap Inc,1444155,67919000.00,1,Duquesne Family Office,Duquesne Family Office=1444155
WSC,NASDAQ,971378104,Willscot Mobil Mini Hldng Co,1501942,61339000.00,1,Duquesne Family Office,Duquesne Family Office=1501942
KBR,NYSE,48242W106,Kbr Inc,1036426,49355000.00,1,Duquesne Family Office,Duquesne Family Office=1036426
SBUX,NASDAQ,855244109,Starbucks Corp,361990,42342000.00,1,Duquesne Family Office,Duquesne Family Office=361990
PRCT,NASDAQ,74276L105,Procept Biorobotics Corp,1660435,41527000.00,1,Duquesne Family Office,Duquesne Family Office=1660435
OPCH,NASDAQ,68404L201,Option Care Health Inc,1190938,33870000.00,1,Duquesne Family Office,Duquesne Family Office=1190938
PLTR,NASDAQ,69608A108,Palantir Technologies Inc,1632937,29736000.00,1,Duquesne Family Office,Duquesne Family Office=1632937
LYV,NYSE,538034109,Live Nation Entertainment In,244590,29275000.00,1,Duquesne Family Office,Duquesne Family Office=244590
EXPE,NASDAQ,30212P303,Expedia Group Inc,154070,27844000.00,1,Duquesne Family Office,Duquesne Family Office=154070
SE,NYSE,81141R100,Sea Ltd,104689,23420000.00,1,Duquesne Family Office,Duquesne Family Office=104689
IR,NYSE,45687V106,Ingersoll Rand Inc,333295,20621000.00,1,Duquesne Family Office,Duquesne Family Office=333295
GWRE,NYSE,40171V100,Guidewire Software Inc,88250,10019000.00,1,Duquesne Family Office,Duquesne Family Office=88250
TASK,NASDAQ,87652V109,Taskus Inc,181000,9767000.00,1,Duquesne Family Office,Duquesne Family Office=181000
ABCL,NASDAQ,00288U106,Abcellera Biologics Inc,659750,9434000.00,1,Duquesne Family Office,Duquesne Family Office=659750
IHS,NYSE,G4701H109,Ihs Holding Limited,771096,8698000.00,1,Duquesne Family Office,Duquesne Family Office=771096
LAD,NYSE,536797103,Lithia Mtrs Inc,29081,8636000.00,1,Duquesne Family Office,Duquesne Family Office=29081
OLLI,NASDAQ,681116109,Ollies Bargain Outlet Hldgs,158200,8098000.00,1,Duquesne Family Office,Duquesne Family Office=158200
OSCR,NYSE,687793109,Oscar Health Inc,994289,7805000.00,1,Duquesne Family Office,Duquesne Family Office=994289
IOT,NYSE,79589L106,Samsara Inc,272700,7666000.00,1,Duquesne Family Office,Duquesne Family Office=272700
RUN,NASDAQ,86771W105,Sunrun Inc,178450,6121000.00,1,Duquesne Family Office,Duquesne Family Office=178450
LMT,NYSE,539830109,Lockheed Martin Corp,14450,5136000.00,1,Duquesne Family Office,Duquesne Family Office=14450
BTI,NYSE,110448107,British Amern Tob Plc,132550,4959000.00,1,Duquesne Family Office,Duquesne Family Office=132550
FSLY,NASDAQ,31188V100,Fastly Inc,130685,4633000.00,1,Duquesne Family Office,Duquesne Family Office=130685
RXRX,NASDAQ,75629V104,Recursion Pharmaceuticals In,259941,4453000.00,1,Duquesne Family Office,Duquesne Family Office=259941
CRBU,NASDAQ,142038108,Caribou Biosciences Inc,271430,4096000.00,1,Duquesne Family Office,Duquesne Family Office=271430
COMP,NYSE,20464U100,Compass Inc,399100,3628000.00,1,Duquesne Family Office,Duquesne Family Office=399100
OPEN,NASDAQ,683712103,Opendoor Technologies Inc,233000,3404000.00,1,Duquesne Family Office,Duquesne Family Office=233000
CCC,NASDAQ,12510Q100,Ccc Intelligent Solutions Hl,281879,3211000.00,1,Duquesne Family Office,Duquesne Family Office=281879
S,NYSE,81730H109,Sentinelone Inc,60000,3029000.00,1,Duquesne Family Office,Duquesne Family Office=60000
ACAD,NASDAQ,004225108,Acadia Pharmaceuticals Inc,74400,1736000.00,1,Duquesne Family Office,Duquesne Family Office=74400
