symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
MSFT,NASDAQ,594918104,Microsoft Corp,2638074,586760000.00,1,Duquesne Family Office,Duquesne Family Office=2638074
TMUS,NASDAQ,872590104,T-Mobile Us Inc,2338580,315358000.00,1,Duquesne Family Office,Duquesne Family Office=2338580
AMZN,NASDAQ,023135106,Amazon Com Inc,82753,269521000.00,1,Duquesne Family Office,Duquesne Family Office=82753
SBUX,NASDAQ,855244109,Starbucks Corp,1977100,211510000.00,1,Duquesne Family Office,Duquesne Family Office=1977100
FCX,NYSE,35671D857,Freeport-Mcmoran Inc,6284379,163520000.00,1,Duquesne Family Office,Duquesne Family Office=6284379
PANW,NASDAQ,697435105,Palo Alto Networks Inc,459060,163145000.00,1,Duquesne Family Office,Duquesne Family Office=459060
SE,NYSE,81141R100,Sea Ltd,764714,152216000.00,1,Duquesne Family Office,Duquesne Family Office=764714
PENN,NASDAQ,707569109,Penn Natl Gaming Inc,1517501,131067000.00,1,Duquesne Family Office,Duquesne Family Office=1517501
DIS,NYSE,254687106,Disney Walt Co,684335,123988000.00,1,Duquesne Family Office,Duquesne Family Office=684335
CVNA,NYSE,146869102,Carvana Co,485981,116412000.00,1,Duquesne Family Office,Duquesne Family Office=485981
MELI,NASDAQ,58733R102,Mercadolibre Inc,63277,106003000.00,1,Duquesne Family Office,Duquesne Family Office=63277
NEE,NYSE,65339F101,Nextera Energy Inc,779800,60162000.00,1,Duquesne Family Office,Duquesne Family Office=779800
NET,NYSE,18915M107,Cloudflare Inc,790848,60097000.00,1,Duquesne Family Office,Duquesne Family Office=790848
TECK,NYSE,878742204,Teck Resources Ltd,3275350,59448000.00,1,Duquesne Family Office,Duquesne Family Office=3275350
CCL,NYSE,143658300,Carnival Corp,2644400,57278000.00,1,Duquesne Family Office,Duquesne Family Office=2644400
CMI,NYSE,231021106,Cummins Inc,219320,49808000.00,1,Duquesne Family Office,Duquesne Family Office=219320
RUN,NASDAQ,86771W105,Sunrun Inc,661535,45897000.00,1,Duquesne Family Office,Duquesne Family Office=661535
LIN,NASDAQ,G5494J103,Linde Plc,144675,38123000.00,1,Duquesne Family Office,Duquesne Family Office=144675
IQV,NYSE,46266C105,Iqvia Hldgs Inc,201977,36188000.00,1,Duquesne Family Office,Duquesne Family Office=201977
EXPE,NASDAQ,30212P303,Expedia Group Inc,270299,35788000.00,1,Duquesne Family Office,Duquesne Family Office=270299
GOOGL,NASDAQ,02079K305,Alphabet Inc,19024,33342000.00,1,Duquesne Family Office,Duquesne Family Office=19024
ADI,NASDAQ,032654105,Analog Devices Inc,213328,31515000.00,1,Duquesne Family Office,Duquesne Family Office=213328
FLEX,NASDAQ,Y2573F102,Flex Ltd,1733430,31167000.00,1,Duquesne Family Office,Duquesne Family Office=1733430
WDAY,NASDAQ,98138H101,Workday Inc,119082,28533000.00,1,Duquesne Family Office,Duquesne Family Office=119082
SMH,NASDAQ,92189F676,Vaneck Vectors Etf Tr,123900,27062000.00,1,Duquesne Family Office,Duquesne Family Office=123900
NYT,NYSE,650111107,New York Times Co,513150,26566000.00,1,Duquesne Family Office,Duquesne Family Office=513150
ABCL,NASDAQ,00288U106,Abcellera Biologics Inc,659750,26548000.00,1,Duquesne Family Office,Duquesne Family Office=659750
AA,NYSE,013872106,Alcoa Corp,1102000,25401000.00,1,Duquesne Family Office,Duquesne Family Office=1102000
FSLR,NASDAQ,336433107,First Solar Inc,231000,22851000.00,1,Duquesne Family Office,Duquesne Family Office=231000
ARRY,NASDAQ,04271T100,Array Technologies Inc,518250,22357000.00,1,Duquesne Family Office,Duquesne Family Office=518250
ELAN,NYSE,28414H103,Elanco Animal Health Inc,623975,19137000.00,1,Duquesne Family Office,Duquesne Family Office=623975
JD,NASDAQ,47215P106,Jd.Com Inc,205313,18047000.00,1,Duquesne Family Office,Duquesne Family Office=205313
BMRN,NASDAQ,09061G101,Biomarin Pharmaceutical Inc,192700,16898000.00,1,Duquesne Family Office,Duquesne Family Office=192700
CRWD,NASDAQ,22788C105,Crowdstrike Hldgs Inc,78304,16586000.00,1,Duquesne Family Office,Duquesne Family Office=78304
UBER,NYSE,90353T100,Uber Technologies Inc,321675,16405000.00,1,Duquesne Family Office,Duquesne Family Office=321675
LYV,NYSE,538034109,Live Nation Entertainment In,214350,15750000.00,1,Duquesne Family Office,Duquesne Family Office=214350
PYPL,NASDAQ,70450Y103,Paypal Hldgs Inc,67188,15735000.00,1,Duquesne Family Office,Duquesne Family Office=67188
FSLY,NASDAQ,31188V100,Fastly Inc,157078,13724000.00,1,Duquesne Family Office,Duquesne Family Office=157078
VALE,NYSE,91912E105,Vale S A,691012,11581000.00,1,Duquesne Family Office,Duquesne Family Office=691012
CNQ,NYSE,136385101,Canadian Nat Res Ltd,411525,9897000.00,1,Duquesne Family Office,Duquesne Family Office=411525
OPCH,NASDAQ,68404L201,Option Care Health Inc,388915,6083000.00,1,Duquesne Family Office,Duquesne Family Office=388915
USFD,NYSE,912008109,Us Foods Hldg Corp,157200,5236000.00,1,Duquesne Family Office,Duquesne Family Office=157200
