trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,asset_class,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,new,LLY,Lilly Eli &amp; Co,532457108,equity,0,297150,0,297150,,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,new,CRWD,Crowdstrike Hldgs Inc,22788C105,equity,0,229600,0,229600,,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,new,MRNA,Moderna Inc,60770K107,equity,0,207680,0,207680,,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,new,DDOG,Datadog Inc,23804L103,equity,0,298040,0,298040,,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,new,PANW,Palo Alto Networks Inc,697435105,equity,0,51400,0,51400,,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,new,EIX,Edison Intl,281020107,equity,0,287600,0,287600,,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,new,WLK,Westlake Corporation,960413102,equity,0,145520,0,145520,,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,new,EQT,Eqt Corp,26884L109,equity,0,259055,0,259055,,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,new,IOT,Samsara Inc,79589L106,equity,0,400900,0,400900,,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,buy,AR,Antero Resources Corp,03674X106,equity,491800,1018535,491800,526735,107.10,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,buy,PLTR,Palantir Technologies Inc,69608A108,equity,3340537,4255412,3340537,914875,27.39,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,buy,KBR,Kbr Inc,48242W106,equity,1201903,1304003,1201903,102100,8.49,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,buy,PSX,Phillips 66,718546104,equity,113335,119380,113335,6045,5.33,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,sell,MSFT,Microsoft Corp,594918104,equity,1020305,740785,1020305,-279520,-27.40,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,sell,FCX,Freeport-Mcmoran Inc,35671D857,equity,4836809,3231827,4836809,-1604982,-33.18,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,sell,TECK,Teck Resources Ltd,878742204,equity,2420125,1061170,2420125,-1358955,-56.15,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,sell,PRCT,Procept Biorobotics Corp,74276L105,equity,1128041,39266,1128041,-1088775,-96.52,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,sell,TMUS,T-Mobile Us Inc,872590104,equity,891207,676867,891207,-214340,-24.05,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,sell,,Smartsheet Inc,83200N103,equity,961722,149800,961722,-811922,-84.42,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,sell,CVX,Chevron Corp New,166764100,equity,964880,830435,964880,-134445,-13.93,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,sell,,Pioneer Nat Res Co,723787107,equity,130375,48455,130375,-81920,-62.83,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,sell,BKNG,Booking Holdings Inc,09857L108,equity,14778,7748,14778,-7030,-47.57,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,sell,GLBE,Global E Online Ltd,M5216V106,equity,575630,20180,575630,-555450,-96.49,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,sell,CTRA,Coterra Energy Inc,127097103,equity,1776000,1387416,1776000,-388584,-21.88,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,sell,CVE,Cenovus Energy Inc,15135U109,equity,1438375,1069345,1438375,-369030,-25.66,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,sell,WSC,Willscot Mobil Mini Hldng Co,971378104,equity,1927271,1767631,1927271,-159640,-8.28,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,sell,SEDG,Solaredge Technologies Inc,83417M104,equity,29900,13400,29900,-16500,-55.18,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,exit,AMZN,Amazon Com Inc,023135106,equity,60997,0,60997,-60997,-100.00,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,exit,PNC,Pnc Finl Svcs Group Inc,693475105,equity,168726,0,168726,-168726,-100.00,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,exit,OPCH,Option Care Health Inc,68404L201,equity,863148,0,863148,-863148,-100.00,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,exit,,Zendesk Inc,98936J101,equity,167660,0,167660,-167660,-100.00,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,exit,NYT,New York Times Co,650111107,equity,409325,0,409325,-409325,-100.00,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,exit,,Anaplan Inc,03272L108,equity,211315,0,211315,-211315,-100.00,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,exit,EXPE,Expedia Group Inc,30212P303,equity,56565,0,56565,-56565,-100.00,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,exit,ALNY,Alnylam Pharmaceuticals Inc,02043Q107,equity,63945,0,63945,-63945,-100.00,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,exit,NFLX,Netflix Inc,64110L106,equity,26240,0,26240,-26240,-100.00,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,exit,MOS,Mosaic Co New,61945C103,equity,143825,0,143825,-143825,-100.00,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,exit,SNAP,Snap Inc,83304A106,equity,235440,0,235440,-235440,-100.00,1.000000
2022-03-31,2022-03-31,2022-06-30,Duquesne Family Office,exit,SE,Sea Ltd,81141R100,equity,48396,0,48396,-48396,-100.00,1.000000
