trade_date,from_snapshot,to_snapshot,fund,action,ticker,company,cusip,asset_class,prev_shares,shares,expected_shares,active_shares,active_pct,flow_factor
2023-09-30,2023-09-30,2023-12-31,Duquesne Family Office,new,ANET,Arista Networks Inc,040413106,equity,0,234185,0,234185,,1.000000
2023-09-30,2023-09-30,2023-12-31,Duquesne Family Office,new,WWD,Woodward Inc,980745103,equity,0,404635,0,404635,,1.000000
2023-09-30,2023-09-30,2023-12-31,Duquesne Family Office,new,SGI,Tempur Sealy Intl Inc,88023U101,equity,0,749100,0,749100,,1.000000
2023-09-30,2023-09-30,2023-12-31,Duquesne Family Office,new,FLEX,Flex Ltd,Y2573F102,equity,0,1134400,0,1134400,,1.000000
2023-09-30,2023-09-30,2023-12-31,Duquesne Family Office,new,ABX,Barrick Gold Corp,067901108,equity,0,1758300,0,1758300,,1.000000
2023-09-30,2023-09-30,2023-12-31,Duquesne Family Office,new,BAH,Booz Allen Hamilton Hldg Cor,099502106,equity,0,235800,0,235800,,1.000000
2023-09-30,2023-09-30,2023-12-31,Duquesne Family Office,new,MRVL,Marvell Technology Inc,573874104,equity,0,363585,0,363585,,1.000000
2023-09-30,2023-09-30,2023-12-31,Duquesne Family Office,new,FCX,Freeport-Mcmoran Inc,35671D857,equity,0,471535,0,471535,,1.000000
2023-09-30,2023-09-30,2023-12-31,Duquesne Family Office,new,NEM,Newmont Corp,651639106,equity,0,474250,0,474250,,1.000000
2023-09-30,2023-09-30,2023-12-31,Duquesne Family Office,new,PANW,Palo Alto Networks Inc,697435105,equity,0,64715,0,64715,,1.000000
2023-09-30,2023-09-30,2023-12-31,Duquesne Family Office,new,P,Pure Storage Inc,74624M102,equity,0,531247,0,531247,,1.000000
2023-09-30,2023-09-30,2023-12-31,Duquesne Family Office,new,GTM,Zoominfo Technologies Inc,98980F104,equity,0,924100,0,924100,,1.000000
2023-09-30,2023-09-30,2023-12-31,Duquesne Family Office,new,DKNG,Draftkings Inc New,26142V105,equity,0,423850,0,423850,,1.000000
2023-09-30,2023-09-30,2023-12-31,Duquesne Family Office,new,NTNX,Nutanix Inc,67059N108,equity,0,216600,0,216600,,1.000000
2023-09-30,2023-09-30,2023-12-31,Duquesne Family Office,new,TTWO,Take-Two Interactive Softwar,874054109,equity,0,63850,0,63850,,1.000000
2023-09-30,2023-09-30,2023-12-31,Duquesne Family Office,new,ADBE,Adobe Inc,00724F101,equity,0,17130,0,17130,,1.000000
2023-09-30,2023-09-30,2023-12-31,Duquesne Family Office,new,WRBY,Warby Parker Inc,93403J106,equity,0,674039,0,674039,,1.000000
2023-09-30,2023-09-30,2023-12-31,Duquesne Family Office,new,KRE,Spdr Ser Tr,78464A698,equity,0,153965,0,153965,,1.000000
2023-09-30,2023-09-30,2023-12-31,Duquesne Family Office,new,OLED,Universal Display Corp,91347P105,equity,0,28400,0,28400,,1.000000
