symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
NVDA,NASDAQ,67066G104,Nvidia Corporation,874656,380467000.00,1,Duquesne Family Office,Duquesne Family Office=874656
CPNG,NYSE,22266T109,Coupang Inc,20903865,355366000.00,1,Duquesne Family Office,Duquesne Family Office=20903865
MSFT,NASDAQ,594918104,Microsoft Corp,1017260,321200000.00,1,Duquesne Family Office,Duquesne Family Office=1017260
LLY,NYSE,532457108,Eli Lilly &amp; Co,454115,243919000.00,1,Duquesne Family Office,Duquesne Family Office=454115
TECK,NYSE,878742204,Teck Resources Ltd,4105677,176932000.00,1,Duquesne Family Office,Duquesne Family Office=4105677
LW,NYSE,513272104,Lamb Weston Hldgs Inc,1826090,168840000.00,1,Duquesne Family Office,Duquesne Family Office=1826090
GOOGL,NASDAQ,02079K305,Alphabet Inc,838375,109710000.00,1,Duquesne Family Office,Duquesne Family Office=838375
TMUS,NASDAQ,872590104,T-Mobile Us Inc,756675,105972000.00,1,Duquesne Family Office,Duquesne Family Office=756675
NWSA,NASDAQ,65249B109,News Corp New,4772025,95727000.00,1,Duquesne Family Office,Duquesne Family Office=4772025
GE,NYSE,369604301,General Electric Co,736095,81375000.00,1,Duquesne Family Office,Duquesne Family Office=736095
VRT,NYSE,92537N108,Vertiv Holdings Co,1886250,70169000.00,1,Duquesne Family Office,Duquesne Family Office=1886250
VST,NYSE,92840M102,Vistra Corp,1988561,65980000.00,1,Duquesne Family Office,Duquesne Family Office=1988561
CVX,NYSE,166764100,Chevron Corp New,384595,64850000.00,1,Duquesne Family Office,Duquesne Family Office=384595
STX,NASDAQ,G7997R103,Seagate Technology Hldngs Pl,915043,60347000.00,1,Duquesne Family Office,Duquesne Family Office=915043
BLDR,NYSE,12008R107,Builders Firstsource Inc,460755,57359000.00,1,Duquesne Family Office,Duquesne Family Office=460755
AVGO,NASDAQ,11135F101,Broadcom Inc,51956,43154000.00,1,Duquesne Family Office,Duquesne Family Office=51956
NTRA,NASDAQ,632307104,Natera Inc,893030,39517000.00,1,Duquesne Family Office,Duquesne Family Office=893030
OPCH,NASDAQ,68404L201,Option Care Health Inc,1205350,38993000.00,1,Duquesne Family Office,Duquesne Family Office=1205350
CCJ,NYSE,13321L108,Cameco Corp,869740,34476000.00,1,Duquesne Family Office,Duquesne Family Office=869740
KBR,NYSE,48242W106,Kbr Inc,505658,29803000.00,1,Duquesne Family Office,Duquesne Family Office=505658
BABA,NYSE,01609W102,Alibaba Group Hldg Ltd,307500,26673000.00,1,Duquesne Family Office,Duquesne Family Office=307500
NWS,NASDAQ,65249B208,News Corp New,975600,20361000.00,1,Duquesne Family Office,Duquesne Family Office=975600
VEEV,NYSE,922475108,Veeva Sys Inc,95700,19470000.00,1,Duquesne Family Office,Duquesne Family Office=95700
DHR,NYSE,235851102,Danaher Corporation,76040,18866000.00,1,Duquesne Family Office,Duquesne Family Office=76040
AMZN,NASDAQ,023135106,Amazon Com Inc,136690,17376000.00,1,Duquesne Family Office,Duquesne Family Office=136690
RIG,NYSE,H8817H100,Transocean Ltd,1844175,15141000.00,1,Duquesne Family Office,Duquesne Family Office=1844175
WDC,NASDAQ,958102105,Western Digital Corp.,230000,10495000.00,1,Duquesne Family Office,Duquesne Family Office=230000
J,NYSE,46982L108,Jacobs Solutions Inc,74415,10158000.00,1,Duquesne Family Office,Duquesne Family Office=74415
SPHR,NYSE,55826T102,Sphere Entertainment Co,270270,10043000.00,1,Duquesne Family Office,Duquesne Family Office=270270
CP,NYSE,13646K108,Canadian Pacific Kansas City,119100,8862000.00,1,Duquesne Family Office,Duquesne Family Office=119100
RXRX,NASDAQ,75629V104,Recursion Pharmaceuticals In,906767,6937000.00,1,Duquesne Family Office,Duquesne Family Office=906767
TKO,NYSE,87256C101,Tko Group Holdings Inc,61465,5167000.00,1,Duquesne Family Office,Duquesne Family Office=61465
CEG,NASDAQ,21037T109,Constellation Energy Corp,38656,4217000.00,1,Duquesne Family Office,Duquesne Family Office=38656
OPEN,NASDAQ,683712103,Opendoor Technologies Inc,1538085,4061000.00,1,Duquesne Family Office,Duquesne Family Office=1538085
IHS,NYSE,G4701H109,Ihs Holding Limited,770310,3420000.00,1,Duquesne Family Office,Duquesne Family Office=770310
ABCL,NASDAQ,00288U106,Abcellera Biologics Inc,659750,3035000.00,1,Duquesne Family Office,Duquesne Family Office=659750
LPX,NYSE,546347105,Louisiana Pac Corp,54432,3008000.00,1,Duquesne Family Office,Duquesne Family Office=54432
COMP,NYSE,20464U100,Compass Inc,399100,1157000.00,1,Duquesne Family Office,Duquesne Family Office=399100
JOBY,NYSE,G65163100,Joby Aviation Inc,22492,145000.00,1,Duquesne Family Office,Duquesne Family Office=22492
