symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
MSFT,NASDAQ,594918104,Microsoft Corp,5226193,700101000.00,1,Duquesne Family Office,Duquesne Family Office=5226193
AMZN,NASDAQ,023135106,Amazon Com Inc,125527,237702000.00,1,Duquesne Family Office,Duquesne Family Office=125527
NFLX,NASDAQ,64110L106,Netflix Inc,534160,196208000.00,1,Duquesne Family Office,Duquesne Family Office=534160
BABA,NYSE,01609W102,Alibaba Group Hldg Ltd,1038393,175956000.00,1,Duquesne Family Office,Duquesne Family Office=1038393
ADBE,NASDAQ,00724F101,Adobe Inc,515971,152031000.00,1,Duquesne Family Office,Duquesne Family Office=515971
UBER,NYSE,90353T100,Uber Technologies Inc,2689840,124755000.00,1,Duquesne Family Office,Duquesne Family Office=2689840
MELI,NASDAQ,58733R102,Mercadolibre Inc,194913,119242000.00,1,Duquesne Family Office,Duquesne Family Office=194913
WDAY,NASDAQ,98138H101,Workday Inc,493787,101513000.00,1,Duquesne Family Office,Duquesne Family Office=493787
HD,NYSE,437076102,Home Depot Inc,453900,94398000.00,1,Duquesne Family Office,Duquesne Family Office=453900
ABT,NYSE,002824100,Abbott Labs,916300,77061000.00,1,Duquesne Family Office,Duquesne Family Office=916300
SNAP,NYSE,83304A106,Snap Inc,5234631,74855000.00,1,Duquesne Family Office,Duquesne Family Office=5234631
CRM,NYSE,79466L302,Salesforce Com Inc,482103,73149000.00,1,Duquesne Family Office,Duquesne Family Office=482103
ILMN,NASDAQ,452327109,Illumina Inc,170800,62880000.00,1,Duquesne Family Office,Duquesne Family Office=170800
MA,NYSE,57636Q104,Mastercard Inc,234000,61900000.00,1,Duquesne Family Office,Duquesne Family Office=234000
FIS,NYSE,31620M106,Fidelity Natl Information Sv,493237,60510000.00,1,Duquesne Family Office,Duquesne Family Office=493237
V,NYSE,92826C839,Visa Inc,344700,59823000.00,1,Duquesne Family Office,Duquesne Family Office=344700
TMUS,NASDAQ,872590104,T Mobile Us Inc,765600,56762000.00,1,Duquesne Family Office,Duquesne Family Office=765600
NOW,NYSE,81762P102,Servicenow Inc,200580,55073000.00,1,Duquesne Family Office,Duquesne Family Office=200580
PYPL,NASDAQ,70450Y103,Paypal Hldgs Inc,481100,55067000.00,1,Duquesne Family Office,Duquesne Family Office=481100
SE,NYSE,81141R100,Sea Ltd,1599905,53149000.00,1,Duquesne Family Office,Duquesne Family Office=1599905
JD,NASDAQ,47215P106,Jd Com Inc,1299213,39353000.00,1,Duquesne Family Office,Duquesne Family Office=1299213
MRK,NYSE,58933Y105,Merck &amp; Co Inc,467200,39175000.00,1,Duquesne Family Office,Duquesne Family Office=467200
MPC,NYSE,56585A102,Marathon Pete Corp,410100,22916000.00,1,Duquesne Family Office,Duquesne Family Office=410100
AEM,NYSE,008474108,Agnico Eagle Mines Ltd,419400,21490000.00,1,Duquesne Family Office,Duquesne Family Office=419400
INCY,NASDAQ,45337C102,Incyte Corp,202400,17196000.00,1,Duquesne Family Office,Duquesne Family Office=202400
NFE,NASDAQ,644393100,New Fortress Energy Llc Cl A Shs Rp,1200000,14052000.00,1,Duquesne Family Office,Duquesne Family Office=1200000
MU,NASDAQ,595112103,Micron Technology Inc,230613,8899000.00,1,Duquesne Family Office,Duquesne Family Office=230613
PANW,NASDAQ,697435105,Palo Alto Networks Inc,40700,8293000.00,1,Duquesne Family Office,Duquesne Family Office=40700
DOCU,NASDAQ,256163106,Docusign Inc,113700,5652000.00,1,Duquesne Family Office,Duquesne Family Office=113700
LNG,NYSE,16411R208,Cheniere Energy Inc,68530,4691000.00,1,Duquesne Family Office,Duquesne Family Office=68530
ADSK,NASDAQ,052769106,Autodesk Inc,23762,3871000.00,1,Duquesne Family Office,Duquesne Family Office=23762
EXP,NYSE,26969P108,Eagle Materials Inc,40150,3722000.00,1,Duquesne Family Office,Duquesne Family Office=40150
FOXA,NASDAQ,35137L105,Fox Corp,84655,3102000.00,1,Duquesne Family Office,Duquesne Family Office=84655
SPOT,NYSE,L8681T102,Spotify Technology S A,13967,2042000.00,1,Duquesne Family Office,Duquesne Family Office=13967
SONY,NYSE,835699307,Sony Corp,38670,2026000.00,1,Duquesne Family Office,Duquesne Family Office=38670
TWLO,NYSE,90138F102,Twilio Inc,14640,1996000.00,1,Duquesne Family Office,Duquesne Family Office=14640
W,NYSE,94419L101,Wayfair Inc,12505,1826000.00,1,Duquesne Family Office,Duquesne Family Office=12505
NXPI,NASDAQ,N6596X109,Nxp Semiconductors N V,15725,1535000.00,1,Duquesne Family Office,Duquesne Family Office=15725
VEEV,NYSE,922475108,Veeva Sys Inc,8795,1426000.00,1,Duquesne Family Office,Duquesne Family Office=8795
TEAM,NASDAQ,G06242104,Atlassian Corp Plc,10035,1313000.00,1,Duquesne Family Office,Duquesne Family Office=10035
Z,NASDAQ,98954M200,Zillow Group Inc,23200,1076000.00,1,Duquesne Family Office,Duquesne Family Office=23200
QRVO,NASDAQ,74736K101,Qorvo Inc,11675,778000.00,1,Duquesne Family Office,Duquesne Family Office=11675
