date,fund,cusip,ticker,company,asset_class,shares,market_value,weight
2022-09-30,Duquesne Family Office,22266T109,CPNG,Coupang Inc,equity,19434307,323970000.00,18.6112
2022-09-30,Duquesne Family Office,532457108,LLY,Lilly Eli &amp; Co,equity,484895,156791000.00,9.0072
2022-09-30,Duquesne Family Office,023135106,AMZN,Amazon Com Inc,equity,906250,102406000.00,5.8829
2022-09-30,Duquesne Family Office,166764100,CVX,Chevron Corp New,equity,690295,99175000.00,5.6973
2022-09-30,Duquesne Family Office,872590104,TMUS,T-Mobile Us Inc,equity,719017,96471000.00,5.5420
2022-09-30,Duquesne Family Office,48242W106,KBR,Kbr Inc,equity,1816183,78495000.00,4.5093
2022-09-30,Duquesne Family Office,513272104,LW,Lamb Weston Hldgs Inc,equity,946800,73263000.00,4.2088
2022-09-30,Duquesne Family Office,23804L103,DDOG,Datadog Inc,equity,789175,70063000.00,4.0249
2022-09-30,Duquesne Family Office,92537N108,VRT,Vertiv Holdings Co,equity,4926070,47881000.00,2.7506
2022-09-30,Duquesne Family Office,594918104,MSFT,Microsoft Corp,equity,193535,45074000.00,2.5894
2022-09-30,Duquesne Family Office,878742204,TECK,Teck Resources Ltd,equity,1371195,41698000.00,2.3954
2022-09-30,Duquesne Family Office,971378104,WSC,Willscot Mobil Mini Hldng Co,equity,977631,39428000.00,2.2650
2022-09-30,Duquesne Family Office,98138H101,WDAY,Workday Inc,equity,240925,36674000.00,2.1068
2022-09-30,Duquesne Family Office,35671D857,FCX,Freeport-Mcmoran Inc,equity,1169777,31970000.00,1.8366
2022-09-30,Duquesne Family Office,81141R100,SE,Sea Ltd,equity,539740,30252000.00,1.7379
2022-09-30,Duquesne Family Office,127097103,CTRA,Coterra Energy Inc,equity,1113900,29095000.00,1.6714
2022-09-30,Duquesne Family Office,697435105,PANW,Palo Alto Networks Inc,equity,154848,25363000.00,1.4570
2022-09-30,Duquesne Family Office,22788C105,CRWD,Crowdstrike Hldgs Inc,equity,153524,25302000.00,1.4535
2022-09-30,Duquesne Family Office,693506107,PPG,Ppg Inds Inc,equity,212945,23571000.00,1.3541
2022-09-30,Duquesne Family Office,30303M102,META,Meta Platforms Inc,equity,160360,21758000.00,1.2499
2022-09-30,Duquesne Family Office,723787107,PXDEUR,Pioneer Nat Res Co,equity,91530,19819000.00,1.1385
2022-09-30,Duquesne Family Office,69608A108,PLTR,Palantir Technologies Inc,equity,2421282,19685000.00,1.1308
2022-09-30,Duquesne Family Office,020764106,AMR,Alpha Metallurgical Resour I,equity,136720,18709000.00,1.0748
2022-09-30,Duquesne Family Office,632307104,NTRA,Natera Inc,equity,414955,18183000.00,1.0446
2022-09-30,Duquesne Family Office,02043Q107,ALNY,Alnylam Pharmaceuticals Inc,equity,88910,17796000.00,1.0223
2022-09-30,Duquesne Family Office,03940R107,ARCH1USD,Arch Resources Inc,equity,147935,17545000.00,1.0079
2022-09-30,Duquesne Family Office,644393100,NFE,New Fortress Energy Inc,equity,387325,16930000.00,0.9726
2022-09-30,Duquesne Family Office,281020107,EIX,Edison Intl,equity,287600,16272000.00,0.9348
2022-09-30,Duquesne Family Office,75629V104,RXRX,Recursion Pharmaceuticals In,equity,1385950,14747000.00,0.8472
2022-09-30,Duquesne Family Office,18915M107,NET,Cloudflare Inc,equity,249305,13789000.00,0.7921
2022-09-30,Duquesne Family Office,82509L107,SHOP,Shopify Inc,equity,490250,13207000.00,0.7587
2022-09-30,Duquesne Family Office,15135U109,CVE,Cenovus Energy Inc,equity,837845,12875000.00,0.7396
2022-09-30,Duquesne Family Office,12008R107,BLDR,Builders Firstsource Inc,equity,169620,9994000.00,0.5741
2022-09-30,Duquesne Family Office,68404L201,OPCH,Option Care Health Inc,equity,312100,9822000.00,0.5642
2022-09-30,Duquesne Family Office,26884L109,EQT,Eqt Corp,equity,240080,9783000.00,0.5620
2022-09-30,Duquesne Family Office,69047Q102,OVV,Ovintiv Inc,equity,194120,8930000.00,0.5130
2022-09-30,Duquesne Family Office,03674X106,AR,Antero Resources Corp,equity,281640,8598000.00,0.4939
2022-09-30,Duquesne Family Office,293594107,ENVX,Enovix Corporation,equity,464400,8515000.00,0.4892
2022-09-30,Duquesne Family Office,14448C104,CARR,Carrier Global Corporation,equity,229590,8164000.00,0.4690
2022-09-30,Duquesne Family Office,21037T109,CEG,Constellation Energy Corp,equity,88825,7389000.00,0.4245
2022-09-30,Duquesne Family Office,65339F101,NEE,Nextera Energy Inc,equity,93400,7323000.00,0.4207
2022-09-30,Duquesne Family Office,00288U106,ABCL,Abcellera Biologics Inc,equity,659750,6525000.00,0.3748
2022-09-30,Duquesne Family Office,874039100,TSM,Taiwan Semiconductor Mfg Ltd,equity,87900,6026000.00,0.3462
2022-09-30,Duquesne Family Office,83200N103,SMARGBP,Smartsheet Inc,equity,151500,5206000.00,0.2991
2022-09-30,Duquesne Family Office,531229854,FWONKUSD,Liberty Media Corp Del,equity,85400,4996000.00,0.2870
2022-09-30,Duquesne Family Office,687793109,OSCR,Oscar Health Inc,equity,994289,4962000.00,0.2851
2022-09-30,Duquesne Family Office,683712103,OPEN,Opendoor Technologies Inc,equity,1538085,4783000.00,0.2748
2022-09-30,Duquesne Family Office,86771W105,RUN,Sunrun Inc,equity,139000,3835000.00,0.2203
2022-09-30,Duquesne Family Office,05352A100,AVTR,Avantor Inc,equity,189695,3718000.00,0.2136
2022-09-30,Duquesne Family Office,G4701H109,IHS,Ihs Holding Limited,equity,771096,3442000.00,0.1977
2022-09-30,Duquesne Family Office,88025U109,TXG,10X Genomics Inc,equity,116715,3324000.00,0.1910
2022-09-30,Duquesne Family Office,83417M104,SEDG,Solaredge Technologies Inc,equity,13400,3102000.00,0.1782
2022-09-30,Duquesne Family Office,142038108,CRBU,Caribou Biosciences Inc,equity,271430,2864000.00,0.1645
2022-09-30,Duquesne Family Office,60770K107,MRNA,Moderna Inc,equity,22154,2620000.00,0.1505
2022-09-30,Duquesne Family Office,12510Q100,CCC,Ccc Intelligent Solutions Hl,equity,281879,2565000.00,0.1474
2022-09-30,Duquesne Family Office,25470M109,DISH,Dish Network Corporation,equity,112400,1554000.00,0.0893
2022-09-30,Duquesne Family Office,75615P103,RETAEUR,Reata Pharmaceuticals Inc,equity,58997,1483000.00,0.0852
2022-09-30,Duquesne Family Office,004225108,ACAD,Acadia Pharmaceuticals Inc,equity,74400,1217000.00,0.0699
2022-09-30,Duquesne Family Office,20464U100,COMP,Compass Inc,equity,399100,926000.00,0.0532
2022-09-30,Duquesne Family Office,704551100,BTU,Peabody Energy Corp,equity,21587,536000.00,0.0308
2022-09-30,Duquesne Family Office,81728A108,SNSEEUR,Sensei Biotherapeutics Inc,equity,100000,155000.00,0.0089
2022-09-30,Duquesne Family Office,G2007L105,,Cazoo Group Ltd,equity,140100,64000.00,0.0037
2022-09-30,Duquesne Family Office,G65163100,,Joby Aviation Inc,equity,11246,49000.00,0.0028
