symbol,exchange,cusip,company,total_shares,total_market_value,n_funds,funds,by_fund_shares
CPNG,NYSE,22266T109,Coupang Inc,19434307,343599000.00,1,Duquesne Family Office,Duquesne Family Office=19434307
MSFT,NASDAQ,594918104,Microsoft Corp,1020305,314570000.00,1,Duquesne Family Office,Duquesne Family Office=1020305
FCX,NYSE,35671D857,Freeport-Mcmoran Inc,4836809,240583000.00,1,Duquesne Family Office,Duquesne Family Office=4836809
AMZN,NASDAQ,023135106,Amazon Com Inc,60997,198847000.00,1,Duquesne Family Office,Duquesne Family Office=60997
CVX,NYSE,166764100,Chevron Corp New,964880,157111000.00,1,Duquesne Family Office,Duquesne Family Office=964880
TMUS,NASDAQ,872590104,T-Mobile Us Inc,891207,114386000.00,1,Duquesne Family Office,Duquesne Family Office=891207
TECK,NYSE,878742204,Teck Resources Ltd,2420125,97749000.00,1,Duquesne Family Office,Duquesne Family Office=2420125
WSC,NASDAQ,971378104,Willscot Mobil Mini Hldng Co,1927271,75414000.00,1,Duquesne Family Office,Duquesne Family Office=1927271
KBR,NYSE,48242W106,Kbr Inc,1201903,65780000.00,1,Duquesne Family Office,Duquesne Family Office=1201903
PLTR,NASDAQ,69608A108,Palantir Technologies Inc,3340537,45866000.00,1,Duquesne Family Office,Duquesne Family Office=3340537
PRCT,NASDAQ,74276L105,Procept Biorobotics Corp,1128041,39470000.00,1,Duquesne Family Office,Duquesne Family Office=1128041
BKNG,NASDAQ,09857L108,Booking Holdings Inc,14778,34705000.00,1,Duquesne Family Office,Duquesne Family Office=14778
PNC,NYSE,693475105,Pnc Finl Svcs Group Inc,168726,31122000.00,1,Duquesne Family Office,Duquesne Family Office=168726
OPCH,NASDAQ,68404L201,Option Care Health Inc,863148,24652000.00,1,Duquesne Family Office,Duquesne Family Office=863148
CVE,NYSE,15135U109,Cenovus Energy Inc,1438375,23992000.00,1,Duquesne Family Office,Duquesne Family Office=1438375
WDAY,NASDAQ,98138H101,Workday Inc,82500,19755000.00,1,Duquesne Family Office,Duquesne Family Office=82500
GLBE,NASDAQ,M5216V106,Global E Online Ltd,575630,19445000.00,1,Duquesne Family Office,Duquesne Family Office=575630
NYT,NYSE,650111107,New York Times Co,409325,18763000.00,1,Duquesne Family Office,Duquesne Family Office=409325
AR,NYSE,03674X106,Antero Resources Corp,491800,15015000.00,1,Duquesne Family Office,Duquesne Family Office=491800
EXPE,NASDAQ,30212P303,Expedia Group Inc,56565,11068000.00,1,Duquesne Family Office,Duquesne Family Office=56565
ALNY,NASDAQ,02043Q107,Alnylam Pharmaceuticals Inc,63945,10442000.00,1,Duquesne Family Office,Duquesne Family Office=63945
OSCR,NYSE,687793109,Oscar Health Inc,994289,9913000.00,1,Duquesne Family Office,Duquesne Family Office=994289
NFLX,NASDAQ,64110L106,Netflix Inc,26240,9829000.00,1,Duquesne Family Office,Duquesne Family Office=26240
PSX,NYSE,718546104,Phillips 66,113335,9791000.00,1,Duquesne Family Office,Duquesne Family Office=113335
SEDG,NASDAQ,83417M104,Solaredge Technologies Inc,29900,9639000.00,1,Duquesne Family Office,Duquesne Family Office=29900
MOS,NYSE,61945C103,Mosaic Co New,143825,9564000.00,1,Duquesne Family Office,Duquesne Family Office=143825
IHS,NYSE,G4701H109,Ihs Holding Limited,771096,8544000.00,1,Duquesne Family Office,Duquesne Family Office=771096
SNAP,NYSE,83304A106,Snap Inc,235440,8473000.00,1,Duquesne Family Office,Duquesne Family Office=235440
ABCL,NASDAQ,00288U106,Abcellera Biologics Inc,659750,6433000.00,1,Duquesne Family Office,Duquesne Family Office=659750
SE,NYSE,81141R100,Sea Ltd,48396,5797000.00,1,Duquesne Family Office,Duquesne Family Office=48396
RUN,NASDAQ,86771W105,Sunrun Inc,178450,5420000.00,1,Duquesne Family Office,Duquesne Family Office=178450
BTI,NYSE,110448107,British Amern Tob Plc,120950,5099000.00,1,Duquesne Family Office,Duquesne Family Office=120950
FLEX,NASDAQ,Y2573F102,Flex Ltd,240666,4464000.00,1,Duquesne Family Office,Duquesne Family Office=240666
COMP,NYSE,20464U100,Compass Inc,399100,3137000.00,1,Duquesne Family Office,Duquesne Family Office=399100
CCC,NASDAQ,12510Q100,Ccc Intelligent Solutions Hl,281879,3112000.00,1,Duquesne Family Office,Duquesne Family Office=281879
CRBU,NASDAQ,142038108,Caribou Biosciences Inc,271430,2492000.00,1,Duquesne Family Office,Duquesne Family Office=271430
OPEN,NASDAQ,683712103,Opendoor Technologies Inc,233000,2015000.00,1,Duquesne Family Office,Duquesne Family Office=233000
RXRX,NASDAQ,75629V104,Recursion Pharmaceuticals In,273650,1959000.00,1,Duquesne Family Office,Duquesne Family Office=273650
ACAD,NASDAQ,004225108,Acadia Pharmaceuticals Inc,74400,1802000.00,1,Duquesne Family Office,Duquesne Family Office=74400
